date,gold_silver_ratio
2025-03-03,85.6517
2025-03-04,85.5069
2025-03-05,87.0779
2025-03-06,84.8816
2025-03-07,83.9319
2025-03-10,83.8766
2025-03-11,85.0869
2025-03-12,85.6424
2025-03-13,86.7169
2025-03-14,87.4591
2025-03-17,88.2767
2025-03-18,88.2781
2025-03-19,85.1113
2025-03-20,86.324
2025-03-21,85.4629
2025-03-24,85.9034
2025-03-25,88.5332
2025-03-26,84.5123
2025-03-27,83.6965
2025-03-28,83.8524
2025-03-31,82.9084
2025-04-01,80.3223
2025-04-02,80.6399
2025-04-03,81.6826
2025-04-04,82.2821
2025-04-07,81.7346
2025-04-08,81.4197
2025-04-09,80.8011
2025-04-10,80.6718
2025-04-11,81.4206
2025-04-14,81.3276
2025-04-15,82.2442
2025-04-16,81.6405
2025-04-17,82.2003
2025-04-18,81.1674
2025-04-21,81.4012
2025-04-22,81.6332
2025-04-23,83.0094
2025-04-24,82.3211
2025-04-25,80.8301
2025-04-28,81.435
2025-04-29,79.5929
2025-04-30,78.1784
2025-05-01,78.6403
2025-05-02,77.9639
2025-05-05,79.3384
2025-05-06,80.6071
2025-05-07,80.4854
2025-05-08,79.5849
2025-05-09,80.5246
2025-05-12,80.5675
2025-05-13,81.0665
2025-05-14,81.6527
2025-05-15,82.397
2025-05-16,83.7315
2025-05-19,85.404
2025-05-20,85.479
2025-05-21,86.2878
2025-05-22,86.5372
2025-05-23,85.6048
2025-05-26,84.5352
2025-05-27,84.8455
2025-05-28,84.8747
2025-05-29,84.1464
2025-05-30,85.779
2025-06-02,85.5206
2025-06-03,83.5947
2025-06-04,83.3717
2025-06-05,86.2211
2025-06-06,86.012
2025-06-09,87.7184
2025-06-10,86.3218
2025-06-11,90.3232
2025-06-12,92.2088
2025-06-13,92.149
2025-06-16,94.4899
2025-06-17,98.9885
2025-06-18,100.3411
2025-06-19,99.2996
2025-06-20,100.93
2025-06-23,102.3099
2025-06-24,102.7081
2025-06-25,102.8923
2025-06-26,101.3487
2025-06-27,100.2945
2025-06-30,101.7384
2025-07-01,102.361
2025-07-02,100.5118
2025-07-03,102.18
2025-07-04,103.6988
2025-07-07,103.3464
2025-07-08,103.68
2025-07-09,105.9921
2025-07-10,105.4668
2025-07-11,103.1452
2025-07-14,104.3629
2025-07-15,105.2638
2025-07-16,107.809
2025-07-17,108.4612
2025-07-18,109.1143
2025-07-21,110.7401
