シンボル,詳細,価格,価格 - 通貨,価格変動 % 1日,出来高 1日,相対ボリューム 1日,時価総額,時価総額 - 通貨,PER (株価収益率),"希薄化EPS, 直近12ヶ月","希薄化EPS, 直近12ヶ月 - 通貨","希薄化EPS成長率 %, 直近12ヶ月前年比","配当利回り %, 直近12ヶ月",セクター,アナリストの評価
SMTI,"Sanara MedTech, Inc.",19.52,USD,-2.0080321285140665,34396,0.46096672210525463,174424034.9879518,USD,,-4.3429,USD,-340.1885262517738,0,ヘルスケアテクノロジー,強い買い
MMA,Mixed Martial Arts Group Limited,0.675,USD,-4.983108108108106,93639,0.14411305577576483,17876389.67483108,USD,,,,,0,消費者サービス,強い買い
SRTS,"Sensus Healthcare, Inc.",4.91,USD,0,43175,0.5590892963050251,80646922.00000001,USD,,-0.1847,USD,-132.32977419919482,0,ヘルスケアテクノロジー,強い買い
BCAL,California BanCorp,18.91,USD,-1.356285863328125,219702,0.5362486902055813,611221330.7355243,USD,9.824397339983374,1.9248,USD,906.1683220073184,0.521648408972353,金融,強い買い
SMP,"Standard Motor Products, Inc.",43.95,USD,1.220635651773379,133935,1.1074151796123488,966864331.872409,USD,14.305243628551901,3.0723,USD,10.709523981117785,2.85582680792262,耐久消費財,強い買い
FLOC,Flowco Holdings Inc Class A,22.16,USD,-1.9902697921273742,373669,1.0051618008979688,2017411577.142857,USD,43.03748300640901,0.5149,USD,,1.06147722246793,産業サービス,強い買い
EGY,"VAALCO Energy, Inc.",4.8,USD,-1.8404907975460096,879718,0.6289879357191344,500439573.9877301,USD,17.518248175182478,0.274,USD,-68.16174761794097,5.11247443762781,エネルギー鉱物,強い買い
CNDT,"Conduent, Inc.",1.43,USD,-3.378378378378381,1089402,0.629057736873381,218631959.8783784,USD,,-0.9936,USD,-143.9568218014511,0,商業サービス,強い買い
AMPY,Amplify Energy Corp.,5.39,USD,1.6981132075471674,384567,0.6078660442907771,218165636.9490566,USD,,-0.6918,USD,-144.88710096029067,0,エネルギー鉱物,強い買い
SRTA,"Strata Critical Medical, Inc. Class A",4.55,USD,-2.7777777777777755,531199,0.6852396369564673,392967668.3333333,USD,,-0.2497,USD,63.203654582964916,0,ヘルスケアサービス,強い買い
HYFT,MindWalk Holdings Corp.,1.55,USD,-3.1250000000000027,155421,0.33904919803011546,72371485.9375,USD,,-0.5906,USD,21.431422109884263,0,ヘルスケアテクノロジー,強い買い
UBCP,"United Bancorp, Inc.",14.3,USD,0.36285030494866266,4351,1.2260827908811678,82568357.36894928,USD,10.537174858153415,1.3571,USD,7.5527024885084755,5.22869394945362,金融,強い買い
BCRX,"BioCryst Pharmaceuticals, Inc.",6.55,USD,3.968253968253968,5287681,1.346929498149847,1624655908.5,USD,,-0.0473,USD,92.21270991109648,0,ヘルスケアテクノロジー,強い買い
INGN,"Inogen, Inc.",5.75,USD,2.862254025044725,293345,1.365114732554411,156103783.45259392,USD,,-1.004,USD,55.3738110054227,0,ヘルスケアテクノロジー,強い買い
INAB,"IN8bio, Inc.",1.91,USD,-4.5000000000000036,25966,0.4872556544061494,18653311.165,USD,,-6.6301,USD,70.57095045962778,0,ヘルスケアテクノロジー,強い買い
SFST,"Southern First Bancshares, Inc.",58.68,USD,-0.01703867779859944,27127,0.599633504497196,480540869.2363265,USD,15.688581129855894,3.7403,USD,95.3363275537915,0,金融,強い買い
RNXT,"RenovoRx, Inc.",0.99,USD,2.6757934038581257,50391,0.22185669988213957,36283415.80584941,USD,,-0.3554,USD,37.88885005242923,0,ヘルスケアテクノロジー,強い買い
LZM,Lifezone Metals Limited,4.79,USD,-4.771371769383702,158846,0.5905029419943107,401326821.75944334,USD,,,,,0,非エネルギー鉱物,強い買い
NPKI,NPK International Inc.,14.23,USD,0,576416,0.8724042758125515,1202359508,USD,37.17345872518287,0.3828,USD,-7.692307692307701,0,生産財製造,強い買い
ROCK,"Gibraltar Industries, Inc.",54.61,USD,1.7893755824790323,187476,0.6268041733450753,1613324800.0156572,USD,737.972972972973,0.074,USD,-97.94175729424526,0,生産財製造,強い買い
ASYS,"Amtech Systems, Inc.",12.99,USD,3.4235668789808895,561571,0.8595757798956026,187140254.00875798,USD,,-2.1363,USD,-2667.6682692307695,0,生産財製造,強い買い
AIV,Apartment Investment and Management Company Class A,5.95,USD,0.6768189509306266,2528526,1.4086223514230989,851486456,USD,,-1.0017,USD,42.38799102777937,0,金融,強い買い
AEYE,"AudioEye, Inc.",7.5,USD,-7.0631970260223085,223936,1.37006818037208,93139625.46468402,USD,,-0.2856,USD,-2.1459227467811175,0,テクノロジーサービス,強い買い
MATV,"Mativ Holdings, Inc.",14.72,USD,2.364394993045896,233744,0.7465564896667541,804906006.9652295,USD,,-8.0289,USD,-508.5330483895588,2.78164116828929,素材産業,強い買い
REAX,Real Brokerage Inc.,3.14,USD,-2.484472049689443,1508062,1.0233539726114778,662225986.347826,USD,,-0.0529,USD,69.36884771279675,0,商業サービス,強い買い
PAYS,"PaySign, Inc.",3.46,USD,-4.419889502762435,502574,1.1797744368668304,190448375.6961326,USD,26.311787072243344,0.1315,USD,-11.328388401888054,0,商業サービス,強い買い
DDC,DDC Enterprise Ltd. Class A,2.77,USD,4.92424242424242,32996,0.3882476143410167,84410227.8371212,USD,,,,,0,テクノロジーサービス,強い買い
KE,"Kimball Electronics, Inc.",24.84,USD,-2.9308323563892147,224746,1.0848872397129379,601479097.2379836,USD,25.76496214085676,0.9641,USD,202.5101976780672,0,電子テクノロジー,強い買い
SRI,"Stoneridge, Inc.",9.17,USD,2.8026905829596416,389903,1.4711499859640016,256915263.93161437,USD,,-1.1539,USD,-330.0782705926202,0,生産財製造,強い買い
PSHG,Performance Shipping Inc.,1.99,USD,-0.5000000000000004,83740,1.1827633498728112,24739995.415,USD,1.125884016973126,1.7675,USD,21.511068334937452,0,交通・輸送,強い買い
KRYS,"Krystal Biotech, Inc.",270.7,USD,-0.7006346062140145,139293,0.5299463254954658,7849628362.924324,USD,40.602969851507424,6.667,USD,277.15675736833174,0,ヘルスケアテクノロジー,強い買い
IPWR,Ideal Power Inc.,3.79,USD,-2.3195876288659756,30982,0.1640285088346257,32320065.0515464,USD,,-1.2384,USD,11.409972101008654,0,電子テクノロジー,強い買い
KLTR,"Kaltura, Inc.",1.46,USD,2.0979020979020997,302981,0.7378748359160572,228247853.38461536,USD,,-0.1186,USD,53.30708661417324,0,テクノロジーサービス,強い買い
SXTP,"60 Degrees Pharmaceuticals, Inc.",4.05,USD,-1.4598540145985521,40569,0.05818532187803385,4283329.270072992,USD,,-29.2919,USD,83.60853979413795,0,ヘルスケアテクノロジー,強い買い
GEO,GEO Group Inc,16.11,USD,0.24891101431237803,1437079,0.9271688574584956,2236899771,USD,9.510035419126329,1.694,USD,570.6254948535234,0,商業サービス,強い買い
ARQQ,Arqit Quantum Inc.,17.56,USD,-5.081081081081088,223851,0.6979726611706326,274846649.2605405,USD,,-2.4623,USD,68.28731131832467,0,テクノロジーサービス,強い買い
PVLA,"Palvella Therapeutics, Inc.",81.01,USD,4.0190035952747944,325482,0.9877685938374395,958874072.3751928,USD,,,,,0,ヘルスケアテクノロジー,強い買い
KZIA,Kazia Therapeutics Ltd Sponsored ADR,5.46,USD,-4.545454545454542,175315,0.828688019746896,64841865.99999999,USD,,-12.311,USD,63.04822850007804,0,ヘルスケアテクノロジー,強い買い
MDV,Modiv Industrial Inc. Class C,14.91,USD,0.1343183344526499,38694,0.9903255528255538,152994705,USD,,-0.2702,USD,-137.6429199648197,7.85762256548019,金融,強い買い
CDRE,"Cadre Holdings, Inc.",42.11,USD,-0.800942285041233,202506,0.8620251499560061,1712354546.429682,USD,38.012276584220984,1.1078,USD,33.75996136198984,0.906949352179034,電子テクノロジー,強い買い
AMIX,"Autonomix Medical, Inc.",0.415,USD,3.7499999999999893,159536,0.5652814785418675,2866686.1625,USD,,-5.1938,USD,63.87072539580956,0,ヘルスケアテクノロジー,強い買い
LGND,Ligand Pharmaceuticals Incorporated,187.02,USD,0.048146364949448135,253736,1.3526195088614126,3680875267.796822,USD,90.0173276857913,2.0776,USD,-17.33906262433357,0,ヘルスケアテクノロジー,強い買い
JUNS,"Jupiter Neurosciences, Inc.",0.6147,USD,-0.5822416302765545,37779,0.028114449825541427,21161882.112081517,USD,,-0.2274,USD,-22.786177105831527,0,ヘルスケアテクノロジー,強い買い
