シンボル,詳細,価格,価格 - 通貨,価格変動 % 1日,出来高 1日,相対ボリューム 1日,時価総額,時価総額 - 通貨,PER (株価収益率),"希薄化EPS, 直近12ヶ月","希薄化EPS, 直近12ヶ月 - 通貨","希薄化EPS成長率 %, 直近12ヶ月前年比","配当利回り %, 直近12ヶ月",セクター,アナリストの評価,ADX (平均方向性指数) (14) 1日,"MACD (移動平均収束拡散) (12,26) 1日, Level",RSI (相対力指数) (14) 1日,SMA (単純移動平均) (50) 1日,SMA (単純移動平均) (20) 1日,SMA (単純移動平均) (200) 1日
FDP,Fresh Del Monte Produce Inc.,39.92,USD,2.1494370522006228,249739,1.1463421239499434,1907168989.0000002,USD,24.359287283378084,1.6388,USD,418.6075949367089,3.0060120240481,素材産業,強い買い,30.796093068420838,0.6571595642120656,62.84314766410263,37.4038,38.63100000000005,35.37010000000001
TOI,"Oncology Institute, Inc.",2.62,USD,-2.2388059701492558,1182411,0.5386399994970796,257759100,USD,,-0.643,USD,16.742198627476366,0,ヘルスケアサービス,強い買い,23.99540002937408,-0.25859332641768695,35.276187557771166,3.3394999999999975,2.9817499999999986,3.33535
ASST,"Strive, Inc. Class A",8.09,USD,-11.873638344226578,6966511,1.1194311647437674,504588224,USD,,-16.6508,USD,57.509378110087525,0,その他,強い買い,24.450256900361165,-2.4984227833150356,28.722146934374635,17.00347999999998,14.93549999999999,64.48698000000005
CVGI,"Commercial Vehicle Group, Inc.",1.69,USD,-1.7441860465116297,45818,0.26778335602947967,62076042,USD,,-1.6337,USD,-260.0725063688027,0,生産財製造,強い買い,16.597080109730626,0.012601587318859409,54.40033569569689,1.6077999999999977,1.6214999999999986,1.6093439999999959
OSW,OneSpaWorld Holdings Ltd.,22.53,USD,0.4906333630686861,1294584,0.45250835373391995,2296987303,USD,31.77266958115922,0.7091,USD,45.935377649722156,0.754549489569463,消費者サービス,強い買い,25.859807042644654,0.2992868098064996,69.05225778941806,20.72899999999995,20.3815,20.790775000000004
GWH,ESS Tech Inc,1.53,USD,1.3245033112582794,249185,0.34206169368892503,41078100.99999999,USD,,-5.1006,USD,24.370570267785656,0,生産財製造,強い買い,16.020795699532357,-0.12518624029577818,39.84231813337427,1.8974000000000004,1.693499999999999,2.1533149999999934
SLE,"Super League Enterprise, Inc.",4.1299,USD,-8.22444444444444,27588,0.4888126607936382,4790684,USD,,-422.3796,USD,86.63775169313936,0,テクノロジーサービス,強い買い,11.420430450788809,-1.1560325062284162,31.200710615568596,7.716398000000084,6.049355000000001,43.61079709999987
CON,"Concentra Group Holdings Parent, Inc.",24.17,USD,1.2992455993294312,1290119,0.8737124511841268,3097873660.0000005,USD,,,,,1.03434009102193,ヘルスケアサービス,強い買い,35.17053271855687,0.8757362097673536,74.2900449842216,20.795200000000033,22.297500000000003,20.99485
IQST,"iQSTEL, Inc.",2.15,USD,0,28248,0.2454343801018124,9865888.999999998,USD,,-2.7821,USD,-63.65294117647058,0,通信,強い買い,31.09143884172691,-0.26592928427826834,29.160343653162386,3.1047667825999996,2.687750000000007,22.760400678250722
OBT,"Orange County Bancorp, Inc.",34.96,USD,-1.2708274498729053,49156,0.5955018747236372,467301226,USD,10.51998074145402,3.3232,USD,34.575200453551474,1.6304347826087,金融,強い買い,45.18638770639681,1.634653051690794,76.4456199534567,29.759199999999975,31.578249999999997,26.60849999999999
PACS,"PACS Group, Inc.",39.18,USD,-0.7347352419559137,1133959,1.2232816828735775,6136181344,USD,37.78206364513019,1.037,USD,-40.2856155706553,0,ヘルスケアサービス,強い買い,24.616162917633023,0.6437113685762341,61.465931484599274,36.4118,36.58149999999999,18.444449999999993
MSS,Maison Solutions Inc. Class A,0.267,USD,-1.111111111111112,131376,0.5828000005323346,6533396.999999999,USD,,-0.2451,USD,-70.92050209205021,0,小売業,強い買い,16.020671893282817,-0.025690911135296868,41.27684664535468,0.3566899999999996,0.27304999999999985,0.7280114399999976
CRMD,CorMedix Inc.,7.43,USD,-3.3810143042912957,2741409,1.3044994567220616,585402607,USD,3.618917734158102,2.0531,USD,,0,ヘルスケアテクノロジー,強い買い,29.604002710976285,-0.5098182065185286,38.79734124269196,9.592000000000011,7.535500000000002,11.307949999999995
TPST,"Tempest Therapeutics, Inc.",2.33,USD,-3.7190082644628046,107707,0.5177778055531786,31410893,USD,,-10.103,USD,49.43468751407651,0,ヘルスケアテクノロジー,強い買い,37.25041347947596,-0.23699707463912523,36.60266779293791,2.847500000000003,2.6130000000000013,6.939853499999994
CVEO,Civeo Corp,28.99,USD,3.2775204845030217,46808,0.9131130271936327,333826299,USD,,-2.1128,USD,-250.1634683724236,1.7247326664367,消費者サービス,強い買い,38.24866010978055,1.1252592630750549,88.6489586207484,24.167199999999983,25.827500000000008,22.852100000000036
EEX,"Emerald Holding, Inc.",4.75,USD,-2.263374485596714,51791,1.0740675452876949,939584949,USD,219.9074074074074,0.0216,USD,,1.26315789473684,商業サービス,強い買い,23.641575934022452,0.07726069899878407,49.932015736887344,4.510600000000002,4.810999999999998,4.685749999999998
CING,"Cingulate, Inc.",6.57,USD,-3.6656891495601167,451291,1.1280512419934312,50843457,USD,,-5.2876,USD,93.83677166005965,0,ヘルスケアテクノロジー,強い買い,53.6118118327639,0.5879164626213944,59.95055246015998,4.924000000000001,5.968999999999999,4.310350000000001
SAMG,Silvercrest Asset Management Group Inc. Class A,14.91,USD,-0.8643617021276531,39291,0.9973600710750096,182475205,USD,20.967515117423712,0.7111,USD,-9.483197556008149,5.49966465459423,金融,強い買い,21.859375796275085,-0.09077098113832527,46.28013342169062,15.148000000000001,15.148500000000013,15.302224999999986
HURA,"TuHURA Biosciences, Inc.",1.29,USD,-0.7692307692307698,8175104,1.4991611772697855,78329454,USD,,-0.6493,USD,99.20701122739224,0,ヘルスケアテクノロジー,強い買い,45.58000202281929,0.015279229295555918,74.58602308635182,0.9080700000000015,0.6933349999999999,2.2509425000000003
CV,"CapsoVision, Inc.",4.83,USD,2.9850746268656647,226134,0.835386390310236,226252785,USD,,,,,0,ヘルスケアテクノロジー,強い買い,24.407488736366513,-0.8485318819338614,35.63136137519223,8.0731,5.480500000000004,
USAR,"USA Rare Earth, Inc. Class A",21.77,USD,-0.5027422303473467,12335050,0.4042430224348626,4744567905,USD,,-2.5128,USD,-844.9747998814113,0,生産財製造,強い買い,33.37460026307739,1.305094182383641,52.29351747701255,18.0313,22.132500000000007,15.920450000000002
MSLE,Satellos Bioscience Inc,11.64,USD,7.08371665133396,75005,2.3611295835323762,179941939.2213063,USD,,-1.5785947999999999,USD,29.575392331513,0,ヘルスケアテクノロジー,強い買い,44.21642808390352,-21.285835027114707,27.70998505696288,71.26531119999996,67.828786,68.80530003999998
DSGN,"Design Therapeutics, Inc.",10.36,USD,1.2707722385141642,226874,1.0067203734477579,590144498,USD,,-1.187,USD,-40.2575918704951,0,ヘルスケアテクノロジー,強い買い,9.905133423266905,0.2293532385230197,55.604062791575764,9.691200000000002,10.1085,6.336724999999999
KSCP,"Knightscope, Inc. Class A",3.56,USD,-5.820105820105813,199611,0.4876911199175173,40971550,USD,,-6.7484,USD,51.32113307990276,0,生産財製造,強い買い,16.5145373535084,-0.17614088626883007,44.89555152223615,4.065100000000009,3.796999999999983,5.364150000000003
GOLD,"Gold.com, Inc.",62.87,USD,0.4473558076369932,1187111,0.9299244826221825,1590421819,USD,132.30218855218854,0.4752,USD,-76.91747219118861,1.27246699538731,金融,強い買い,53.67853560996988,6.106041669441531,78.13014686077301,40.313399999999994,49.947500000000005,28.010675000000003
AARD,"Aardvark Therapeutics, Inc.",12.67,USD,0.47581284694687154,100045,0.6431665045544636,275867351.99999994,USD,,-2.2465,USD,31.29969418960244,0,ヘルスケアテクノロジー,強い買い,18.682424901625843,-0.37115149628824184,44.237879163775425,13.676699999999991,13.882500000000007,12.040325000000001
DLHC,DLH Holdings Corp.,5.55,USD,-0.17985611510790983,17368,2.043366236455404,80436349.00000001,USD,,-0.0745,USD,-117.1303747988043,0,商業サービス,強い買い,36.241376867373525,-0.021797570906781694,39.59456125562169,5.786000000000005,5.834999999999997,5.567024999999993
SLGL,Sol-Gel Technologies Ltd.,66.1,USD,1.6923076923076836,27040,0.7954953311720023,184140522.99999997,USD,,-3.2257,USD,6.104092682074874,0,ヘルスケアテクノロジー,強い買い,18.128908690587522,3.606874809209657,62.101900665793636,52.500426000000004,64.24825000000001,28.192521800000005
HCWB,"HCW Biologics, Inc.",0.9902,USD,-1.9603960396039641,84968,1.3927604910264249,3247670,USD,,-13.9585,USD,65.26007964161275,0,ヘルスケアテクノロジー,強い買い,19.677583920281762,-0.12455951998189319,33.650637002979494,1.413656,1.1737600000000001,3.9347895000000004
ALLR,"Allarity Therapeutics, Inc.",0.9,USD,-3.246613631477102,169917,0.6236230009083659,14472882,USD,,-1.6053,USD,99.81829202654818,0,ヘルスケアテクノロジー,強い買い,29.34908325758636,-0.07492797264703788,38.27570624579077,1.0843560000000005,1.0441399999999998,1.1751469999999988
AGM,Federal Agricultural Mortgage Corporation Class C,178.58,USD,-2.1693875314999342,112726,0.9510639841655263,1901083425.9999998,USD,10.170572657117637,17.5585,USD,12.941093229387771,3.35983872774107,金融,強い買い,21.108173830153934,0.8935254887084341,57.02745374047113,175.1791999999998,172.5014999999999,179.18015000000022
GNTA,Genenta Science SpA Sponsored ADR,0.88,USD,-4.347826086956525,95570,0.25848487348251364,16848892,USD,,-0.5112,USD,3.40136054421769,0,ヘルスケアテクノロジー,強い買い,12.5271186390052,-0.17885706281027158,35.530196441569544,1.3834860000000009,1.129215,2.923641500000005
NRXS,"NeurAxis, Inc.",4.65,USD,0.6493506493506547,91408,1.7456501022662818,49535572,USD,,-1.0226,USD,43.58380227297805,0,ヘルスケアテクノロジー,強い買い,36.89583704958222,0.09627527875626107,57.41642667780642,3.9596000000000013,4.552999999999999,2.9679225000000016
ACCO,ACCO Brands Corporation,4.14,USD,-0.956937799043063,480766,0.6955338447874747,373163570.99999994,USD,9.632387156817122,0.4298,USD,,7.2463768115942,生産財製造,強い買い,23.328450956983925,0.07372155597163577,62.70207091258256,3.8399999999999994,4.0055000000000005,3.792150000000002
AVO,"Mission Produce, Inc.",13.66,USD,-0.364697301239976,434680,0.6458465786014512,967664438.9999999,USD,25.773584905660375,0.53,USD,2.5740274820979248,0,素材産業,強い買い,15.007134288722982,0.3691486509619537,62.29537435682489,12.62900000000002,13.333499999999995,12.039550000000009
PSTV,"Plus Therapeutics, Inc.",0.2712,USD,3.07867730900798,4414950,0.45306901032393315,48374277.99999999,USD,,-1.9042,USD,14.85803711155824,0,ヘルスケアテクノロジー,強い買い,42.980006801604624,-0.05714107497243209,37.50255400641233,0.4582199999999999,0.26071999999999984,0.48966649999999967
IMMX,"Immix Biopharma, Inc.",6.84,USD,1.6344725111441223,1253091,1.2668689600620509,362213082,USD,,-0.7861,USD,10.201050948137986,0,ヘルスケアテクノロジー,強い買い,28.721990747040543,0.40109888509738045,65.38269912227327,5.5811,5.755500000000002,3.3366000000000016
SAVA,"Cassava Sciences, Inc.",2.15,USD,-1.376146788990837,480443,0.7627568557035739,103861980,USD,,-2.1978,USD,-60.39994161436285,0,ヘルスケアテクノロジー,強い買い,20.79346444820411,-0.06816744285941478,50.57578369106831,2.3656999999999995,2.0690000000000004,2.4779750000000345
TYGO,"Tigo Energy, Inc.",3.39,USD,-10.31746031746031,1089757,1.4096935845803602,238494132.00000003,USD,,-0.6588,USD,11.83083511777301,0,電子テクノロジー,強い買い,45.32496417899981,0.4248612944757131,56.169287930679744,2.2554000000000007,3.302500000000001,1.743695230000002
MYN,BlackRock MuniYield New York Quality Fund Inc,10,USD,-0.9900990099009866,253412,1.7903053972255114,383132000,USD,,-0.9002,USD,-285.07401315789474,6.004,その他,強い買い,17.817217642758344,0.012867451718792111,48.672944798726874,10.01750000000001,10.023749999999973,9.75249000000001
DAKT,"Daktronics, Inc.",26.16,USD,-0.9841029523088627,375025,0.5049739309438304,1275242911,USD,192.9203539823009,0.1356,USD,-64.40944881889764,0,生産財製造,強い買い,42.76226499537849,1.461429171565964,78.74899441372102,20.83099999999999,23.129499999999993,18.154100000000007
MRKR,"Marker Therapeutics, Inc.",1.46,USD,-5.806451612903231,440572,1.636038203882774,24342765,USD,,-1.229,USD,-13.66999630040697,0,ヘルスケアテクノロジー,強い買い,24.456631244295473,-0.03250777467234944,41.35324781555395,1.6141000000000008,1.7765,1.3068935000000002
SOC,Sable Offshore Corp.,8.43,USD,3.4355828220858817,3122324,0.5059816151000879,1222027951,USD,,-3.9917,USD,71.59882459248507,0,エネルギー鉱物,強い買い,21.77828171009449,-0.33686183784964463,45.65635145255707,8.508799999999981,9.779499999999988,18.029850000000007
VXRT,"Vaxart, Inc.",0.5747,USD,-2.576707916596032,218068,0.49112921116137237,137968136,USD,,-0.2222,USD,45.659085350941545,0,ヘルスケアテクノロジー,強い買い,27.118880879908513,0.025780195573684384,49.47453762203353,0.4919758199999993,0.6292608500000001,0.4242498550000009
BMNR,BitMine Immersion Technologies Inc,19.47,USD,-2.406015037593987,33391444,0.6264338928231056,8856171137,USD,,-0.8722,USD,66.59517426273459,0.0513610683102208,金融,強い買い,29.07565108147662,-3.0695732024154303,34.33120179935982,29.412400000000005,25.636500000000012,34.813494199999994
MOB,Mobilicom Ltd.,6.18,USD,-0.3225806451612978,200463,0.35081735405141956,61427154.419999994,USD,,-0.0031,USD,8.823529411764703,0,電子テクノロジー,強い買い,16.783181661258222,-0.30239509956575183,42.29955003964378,7.111699999999997,7.348749999999998,5.447745500000001
RCT,RedCloud Holdings plc,0.92,USD,-7.9999999999999964,35900,0.2336019864627974,40688504.99999999,USD,,,,,0,テクノロジーサービス,強い買い,22.799061411838046,-0.13768710188796573,32.08813840903565,1.36729,1.1939749999999993,1.7036375
FBRX,Forte Biosciences Inc.,29.85,USD,1.2550881953867061,169992,0.6326644390868064,373929003,USD,,-4.4441,USD,77.07785308286655,0,ヘルスケアテクノロジー,強い買い,23.696554537699765,0.7381649201928795,50.84371683790133,27.0495,31.342000000000002,15.555955000000006
INUV,"Inuvo, Inc.",1.79,USD,-3.7634408602150566,102804,0.23747138846751678,26143979.999999996,USD,,-0.3016,USD,50.62213490504257,0,テクノロジーサービス,強い買い,23.451156125167554,-0.2894120070479702,35.52454143485765,2.6627600000000005,2.4915000000000003,3.5457149999999977
NX,Quanex Building Products Corporation,22.35,USD,1.085481682496617,584680,0.9611366622972658,1026723263.9999999,USD,,-5.4875,USD,-588.5159797026618,1.43176733780761,生産財製造,強い買い,47.67176742818616,1.364879301568891,84.98240418323373,17.004399999999997,19.473,17.092049999999993
REED,"Reed's, Inc.",2.02,USD,-2.8846153846153872,6232,0.287880117701948,23119816.000000004,USD,,-3.2255,USD,86.74951217007292,0,非耐久消費財,強い買い,21.236751797983818,-0.4238142198047776,35.27097232557604,2.820847999999994,2.2641499999999892,29.291766100002125
INAB,"IN8bio, Inc.",1.99,USD,4.188481675392674,41713,0.8318410063535246,19434602.000000004,USD,,-6.6301,USD,70.57095045962778,0,ヘルスケアテクノロジー,強い買い,14.570787543377103,-0.04901738101377395,46.529770364543005,2.013400000000001,2.1295,2.4387749999999992
