シンボル,詳細,価格,価格 - 通貨,価格変動 % 1日,出来高 1日,相対ボリューム 1日,時価総額,時価総額 - 通貨,PER (株価収益率),"希薄化EPS, 直近12ヶ月","希薄化EPS, 直近12ヶ月 - 通貨","希薄化EPS成長率 %, 直近12ヶ月前年比","配当利回り %, 直近12ヶ月",セクター,アナリストの評価,ADX (平均方向性指数) (14) 1日,"MACD (移動平均収束拡散) (12,26) 1日, Level",RSI (相対力指数) (14) 1日,SMA (単純移動平均) (50) 1日,SMA (単純移動平均) (20) 1日,SMA (単純移動平均) (200) 1日
FNWB,First Northwest Bancorp,10.24,USD,0.34296913277805136,46729,1.7930624304516327,96892421.26800586,USD,,-0.4856,USD,33.958928328573364,1.3718765311122,金融,強い買い,27.031526389165677,0.08084541584225313,49.77073404491167,10.035200000000003,10.467250000000002,8.758450000000005
ECOR,"electroCore, Inc.",5.43,USD,-2.862254025044725,41406,1.0012211193190759,43417754.484794274,USD,,-1.7951,USD,1.6167927216924303,0,ヘルスケアテクノロジー,強い買い,24.250887795183665,-0.14865848806838855,42.98398292416,5.608299999999998,6.451499999999989,5.535949999999996
NTRP,"NextTrip, Inc.",3.02,USD,-1.6286644951140006,28622,0.7372680742986526,41273753.70684039,USD,,-4.2451,USD,61.60226491551792,0,テクノロジーサービス,強い買い,13.468377687523908,-0.10929681915789757,43.931172452090195,3.4207999999999985,3.1479999999999997,3.4721994999999986
EVAX,Evaxion A/S Sponsored ADR,3.34,USD,4.702194357366769,22315,0.38232023753026095,20149866,USD,,,,,0,ヘルスケアテクノロジー,強い買い,32.543292631310635,-0.4144561803951854,38.90818140990862,4.649600000000001,3.603999999999999,3.8739429999999997
OWLT,"Owlet, Inc. Class A",10.93,USD,3.7986704653371355,192974,0.8641390403450573,301456042.0769231,USD,,-2.6724,USD,-11.890805560207681,0,耐久消費財,強い買い,27.875938285115836,-0.8410345858334622,38.22647408719112,13.7322,12.336000000000002,9.355750000000002
ACOG,Alpha Cognition Inc,4.88,USD,-7.924528301886791,196559,2.851421003079771,106101469.1773585,USD,,-1.3667,USD,52.51546105204642,0,金融,強い買い,23.81487067629358,-0.2349901411407025,41.50173800693829,5.737400000000013,5.315750000000196,7.5897749999999
CLPT,"ClearPoint Neuro, Inc.",13.55,USD,3.9110429447852884,640660,1.0941435499395766,403089575.1457055,USD,,-0.8262,USD,-19.53125,0,ヘルスケアテクノロジー,強い買い,10.449115215522305,-0.2942276387130569,47.859252272186794,13.955599999999983,13.74999999999999,14.478400000000006
RVMD,"Revolution Medicines, Inc.",96.31,USD,-1.0479810952429838,1585294,0.7724032756493258,18618631151.151756,USD,,-5.1809,USD,-44.238425345917214,0,ヘルスケアテクノロジー,強い買い,23.995670582794666,-0.19720621854528986,46.321909724493594,93.50779999999997,102.40900000000006,57.32157500000004
NXTC,"NextCure, Inc.",13.1,USD,-1.057401812688826,11736,0.2556829322492518,45923637.03927492,USD,,-24.1859,USD,3.777540838816969,0,ヘルスケアテクノロジー,強い買い,24.202614778116065,0.05507163867083342,59.14851603527174,12.2326,11.905500000000005,8.05836994
VRME,"VerifyMe, Inc.",1.01,USD,1.548361150211137,1304867,0.5042591245617619,12567600.804343453,USD,,-0.3819,USD,-20.43519394512773,0,テクノロジーサービス,強い買い,30.92575832974034,0.009910592766364967,46.87188258382385,0.9403999999999997,1.143735,0.8760029899999999
NPO,Enpro Inc.,272.63,USD,0.5235795140297246,131496,0.4874150426417735,5743149554.436046,USD,66.97373916034097,4.0707,USD,100.42836041358937,0.457210279856937,生産財製造,強い買い,27.385915242707338,11.809194626804725,71.29399069965856,233.55019999999976,250.52549999999997,214.62845000000002
PKOH,Park-Ohio Holdings Corp.,28,USD,0.7194244604316521,20681,0.6555220625758742,403317791.36690646,USD,13.51677528361091,2.0715,USD,67.80072904009721,1.79856115107914,生産財製造,強い買い,28.16369347019576,1.4215860380804521,78.4696631716231,22.9165,24.297749999999994,20.219325000000012
CECO,CECO Environmental Corp.,79.14,USD,5.351437699680506,302128,1.0071295899985733,2820631166.24361,USD,55.9095725891911,1.4155,USD,327.51434611899725,0,生産財製造,強い買い,34.886497255759465,3.5017801424734643,73.22925850933142,64.28719999999996,70.53925000000004,46.546325000000024
XGN,"Exagen, Inc.",3.28,USD,1.2345679012345552,235798,0.3866745379708434,74334965.97530864,USD,,-0.9257,USD,1.3428540978365187,0,ヘルスケアサービス,強い買い,39.81567381049479,-0.6629616219051782,24.200894364160305,5.4033999999999915,3.933500000000003,7.831025000000002
JTAI,Jet.AI Inc.,0.1355,USD,-3.2142857142857166,26609278,0.31630988265757015,6162302.874999999,USD,,-5.4711,USD,97.7016163588488,0,交通・輸送,強い買い,8.505227518981346,-0.1557628004506363,25.42813688123512,0.6779479999999998,0.21736000000000005,2.626129999999996
AMSC,American Superconductor Corporation,34.26,USD,7.2300469483568035,1435297,0.7397341126266996,1631196944.4169014,USD,11.695227691677477,2.9294,USD,3754.473684210526,0,生産財製造,強い買い,17.183240789385756,0.08191193182533851,58.47855553157834,31.158599999999993,31.066999999999997,40.295150000000014
BFRI,"Biofrontera, Inc.",0.7787,USD,-1.430379746835454,114771,0.07253054509733935,9070548.952531645,USD,,-1.8172,USD,19.777503090234866,0,ヘルスケアテクノロジー,強い買い,23.193323387024318,-0.01584710208244755,39.60027560929076,0.8195739999999999,0.8887500000000003,0.8447597500000008
MVST,"Microvast Holdings, Inc.",2.36,USD,1.7241379310344844,2012176,0.712433064766256,774511458.8620689,USD,,-0.4944,USD,-11.754068716094029,0,生産財製造,強い買い,22.39657376870731,-0.19254745203211687,33.16541146331511,2.961000000000001,2.6685000000000025,3.4835000000000007
SNAL,"Snail, Inc. Class A",0.5912,USD,1.7555938037865728,15707,0.23801550199646923,22316207.524956968,USD,,-0.6884,USD,-915.6398104265403,0,テクノロジーサービス,強い買い,19.31359656089672,-0.05729437020676609,29.93489838175195,0.8087919999999993,0.7154950000000001,1.0172400700000004
MITK,"Mitek Systems, Inc.",13.4,USD,16.420503909643795,1724048,1.7731495246929394,607238270.981755,USD,38.773148148148145,0.3456,USD,274.02597402597405,0,テクノロジーサービス,強い買い,22.92663022596214,0.48805903521074967,73.5797509707064,10.33700000000001,10.682500000000008,9.751225000000005
CVGI,"Commercial Vehicle Group, Inc.",1.67,USD,4.37499999999999,87713,0.5091514683969446,61341412.94999999,USD,,-1.6337,USD,-260.0725063688027,0,生産財製造,強い買い,14.99083599860504,0.01207005627184965,52.92565853102441,1.6041999999999976,1.6094999999999984,1.616318999999996
ACCO,ACCO Brands Corporation,4.11,USD,1.2315270935960767,351838,0.520831606297385,370459494.5024631,USD,9.562587249883666,0.4298,USD,,7.38916256157636,生産財製造,強い買い,22.349935298580505,0.0700400813147537,59.10473116151313,3.864,4.007500000000001,3.7943000000000024
NUTX,Nutex Health Inc,99.71,USD,-5.056179775280902,152208,0.53379363893108,705140731.7134831,USD,5.1725390106241695,19.2768,USD,,0,ヘルスケアサービス,強い買い,22.80939743452264,-16.393731780162284,30.92870128265237,156.4860999999999,134.31200000000007,124.49957499999995
SMSI,"Smith Micro Software, Inc.",0.49,USD,0,58289,0.5854060753116896,12351105,USD,,-1.5566,USD,70.11251488038094,0,テクノロジーサービス,強い買い,18.47166212621618,-0.022758110288743416,36.40549193585084,0.5686039999999988,0.5451449999999998,0.7306624999999985
