シンボル,詳細,価格,価格 - 通貨,価格変動 % 1日,出来高 1日,相対ボリューム 1日,時価総額,時価総額 - 通貨,PER (株価収益率),"希薄化EPS, 直近12ヶ月","希薄化EPS, 直近12ヶ月 - 通貨","希薄化EPS成長率 %, 直近12ヶ月前年比","配当利回り %, 直近12ヶ月",セクター,アナリストの評価,ADX (平均方向性指数) (14) 1日,"MACD (移動平均収束拡散) (12,26) 1日, Level",RSI (相対力指数) (14) 1日,SMA (単純移動平均) (50) 1日,SMA (単純移動平均) (20) 1日,SMA (単純移動平均) (200) 1日
IMPP,"Imperial Petroleum, Inc.",3.68,USD,1.3774104683195665,215936,0.31044837575156886,164307362,USD,3.436041083099907,1.071,USD,-13.754227733934615,0,交通・輸送,強い買い,23.848580494330385,-0.06887113017210522,50.86200610283042,3.8080000000000003,3.5414999999999965,3.8519749999999986
ALDX,"Aldeyra Therapeutics, Inc.",5.28,USD,0.5714285714285762,831703,1.1706143500446597,317659455,USD,,-0.7218,USD,4.232453230728411,0,ヘルスケアテクノロジー,強い買い,25.197743003390883,0.1401460490541595,53.59111273971055,4.937399999999988,5.261000000000007,4.601925000000002
PURR,"Hyperliquid Strategies, Inc",4.32,USD,1.408450704225364,2771545,0.5757969714048887,535539649.00000006,USD,,,,,0,金融,強い買い,23.45533955556369,0.23468576587999745,50.42317796921667,3.8476,4.349500000000001,
SVRA,"Savara, Inc.",5.6,USD,-3.9451114922813106,1452902,0.919595069853115,1139419939,USD,,-0.5351,USD,-22.3924977127173,0,ヘルスケアテクノロジー,強い買い,21.423720368709688,-0.11149522801872269,49.187634179883105,5.979600000000001,5.648000000000002,3.9137500000000016
IGC,"IGC Pharma, Inc.",0.256,USD,0,215724,0.506161128099892,24529415,USD,,-0.0778,USD,58.30653804930333,0,ヘルスケアテクノロジー,強い買い,19.72962944902678,-0.012516314600726386,38.13539189189059,0.29281199999999935,0.2723149999999995,0.34245824499999983
HOTH,"Hoth Therapeutics, Inc.",1.02,USD,4.081632653061228,713900,0.9987916286179614,15824598,USD,,-1.0646,USD,24.043949771689498,0,ヘルスケアテクノロジー,強い買い,24.501149352078006,-0.031983394482138494,56.084702947001816,1.03352,0.9460500000000003,1.2275689999999997
KSCP,"Knightscope, Inc. Class A",4.03,USD,13.521126760563392,611588,1.7264012465561627,46380719,USD,,-6.7484,USD,51.32113307990276,0,生産財製造,強い買い,15.354671122847257,-0.12105703314707483,54.717166094887666,4.03890000000001,3.733999999999983,5.353400000000004
CRVO,CervoMed Inc.,4.72,USD,4.194260485651203,36456,0.4330694163137544,43672831.00000001,USD,,-2.8954,USD,-76.95880699181028,0,商業サービス,強い買い,47.05474070267833,-0.684221279146807,33.456237252241394,7.036700000000003,5.509500000000003,7.929924999999997
AOUT,"American Outdoor Brands, Inc.",8.68,USD,2.3584905660377276,31844,0.4011690896722014,109256130.99999999,USD,,-0.441,USD,24.910607866507753,0,耐久消費財,強い買い,19.44114200896386,0.07810451532594165,48.06246011204995,8.486300000000002,8.902750000000005,9.181425000000003
ARAY,Accuray Incorporated,0.5476,USD,2.0309297559157855,751381,0.5826386054284618,62065601,USD,,-0.2984,USD,-557.2687224669603,0,ヘルスケアテクノロジー,強い買い,50.96071004891235,-0.09223464176385032,25.416507407407593,0.8406220000000002,0.7198049999999999,1.2909095000000013
