シンボル,詳細,価格,価格 - 通貨,価格変動 % 1日,出来高 1日,相対ボリューム 1日,時価総額,時価総額 - 通貨,PER (株価収益率),"希薄化EPS, 直近12ヶ月","希薄化EPS, 直近12ヶ月 - 通貨","希薄化EPS成長率 %, 直近12ヶ月前年比","配当利回り %, 直近12ヶ月",セクター,アナリストの評価,ADX (平均方向性指数) (14) 1日,"MACD (移動平均収束拡散) (12,26) 1日, Level",RSI (相対力指数) (14) 1日,SMA (単純移動平均) (50) 1日,SMA (単純移動平均) (20) 1日,SMA (単純移動平均) (200) 1日
INKT,"MiNK Therapeutics, Inc.",11.04,USD,0,5734,0.5927227620425883,51823468,USD,,-3.0346,USD,21.481059821983017,0,ヘルスケアテクノロジー,強い買い,22.533989479676606,-0.2858065222227175,38.97141830556698,11.866102000000003,11.735999999999997,12.570723000000008
ANGX,"Angel Studios, Inc. Class A",3.27,USD,1.5527950310558951,587918,0.6835275826151901,552391829,USD,,-1.1141,USD,-310.04784688995215,0,消費者サービス,強い買い,25.57348505993057,-0.33170925276547036,35.72323162788996,4.411200000000009,3.836499999999993,10.370958500000015
ARDX,"Ardelyx, Inc.",6.87,USD,-1.9971469329529197,2787432,0.9016250510057287,1669233547,USD,,-0.2369,USD,23.924213230571613,0,ヘルスケアテクノロジー,強い買い,28.859893763378295,0.08995530848914601,44.03850201724362,6.69,7.514500000000011,5.4098499999999925
RPT,Rithm Property Trust Inc,14.71,USD,-1.8024032042723601,117442,2.607637601387282,111308409,USD,,-0.3616,USD,97.88320142368754,9.78925900747791,金融,強い買い,19.471399148002728,-0.37060880191764767,35.04801946545281,16.115600000000004,15.933999999999994,15.837800000000001
NRXP,"NRX Pharmaceuticals, Inc.",1.8,USD,4.046242774566478,261385,0.5047306246370954,53289269,USD,,-2.3541,USD,-9.315068493150669,0,ヘルスケアテクノロジー,強い買い,18.74398277404201,-0.13409634292878736,39.86854872096555,2.215399999999996,2.0374999999999996,2.6776199999999983
CV,"CapsoVision, Inc.",4.83,USD,2.5477707006369448,64822,0.2644475839203532,226252785,USD,,,,,0,ヘルスケアテクノロジー,強い買い,25.128766692903547,-0.7870549939702016,36.49961765176706,8.041900000000002,5.360000000000002,
GRC,Gorman-Rupp Company,67.4,USD,0.8680035917390191,110785,0.5798179292672894,1773485552,USD,,,,,1.1053412462908,生産財製造,強い買い,53.6812678615756,4.350458922198342,87.19315786188479,52.71979999999994,58.04849999999999,44.26285000000001
CDRE,"Cadre Holdings, Inc.",42.19,USD,2.278787878787873,143155,0.7051411193496476,1715607566.9999998,USD,38.084491785520854,1.1078,USD,33.75996136198984,0.912538516236075,電子テクノロジー,強い買い,11.876282382784767,-0.1577481976324293,51.820720176348146,42.16440000000002,41.92500000000003,36.97595000000001
FEAM,"5E Advanced Materials, Inc.",2.21,USD,2.3148148148148064,202301,0.25325429534938276,51961262,USD,,-6.7309,USD,74.18737536431969,0,素材産業,強い買い,16.37240590417762,-0.35415972989535094,34.88791042676033,3.2614999999999994,2.6979999999999977,3.9642084999999954
LSF,"Laird Superfood, Inc.",2.91,USD,7.380073800738014,93832,1.0124418826723236,31148578,USD,,-0.1797,USD,-34.70764617691155,0,非耐久消費財,強い買い,31.099421084869967,-0.010311714137294814,53.663718582786515,2.596,3.0049999999999923,4.982025000000002
