シンボル,詳細,価格,価格 - 通貨,価格変動 % 1日,出来高 1日,相対ボリューム 1日,時価総額,時価総額 - 通貨,PER (株価収益率),"希薄化EPS, 直近12ヶ月","希薄化EPS, 直近12ヶ月 - 通貨","希薄化EPS成長率 %, 直近12ヶ月前年比","配当利回り %, 直近12ヶ月",セクター,アナリストの評価,ADX (平均方向性指数) (14) 1日,"MACD (移動平均収束拡散) (12,26) 1日, Level",RSI (相対力指数) (14) 1日,SMA (単純移動平均) (50) 1日,SMA (単純移動平均) (20) 1日,SMA (単純移動平均) (200) 1日
ARQQ,Arqit Quantum Inc.,16.53,USD,-2.7647058823529345,157797,0.5373340166481382,258725244.99999997,USD,,-2.4623,USD,68.28731131832467,0,テクノロジーサービス,強い買い,36.997594498461254,-2.341708697253143,29.66885573404734,23.947599999999984,20.430000000000028,30.81597499999999
BYRN,Byrna Technologies Inc.,12.64,USD,1.039168665067952,286181,0.3406790128747598,286565034.00000006,USD,31.364764267990076,0.403,USD,-25.273502688670497,0,電子テクノロジー,強い買い,34.58755856298258,-0.9781409819050975,34.99331196156045,16.264500000000027,14.200250000000016,21.22584999999999
ASPI,"ASP Isotopes, Inc.",5.385,USD,3.160919540229886,3244431,0.6685187505931698,673718039,USD,,-1.425,USD,-137.42085971342888,0,ヘルスケアテクノロジー,強い買い,25.897221021557343,-0.43129898445755455,40.766997662634665,6.381900000000001,6.489750000000006,8.044925000000001
VXRT,"Vaxart, Inc.",0.556425,USD,-1.691696113074205,155332,0.451250837387363,133580855.00000001,USD,,-0.2222,USD,45.659085350941545,0,ヘルスケアテクノロジー,強い買い,23.858319118265683,0.01201180898190124,46.78585899018059,0.5033573199999993,0.6186616,0.42612673000000084
CING,"Cingulate, Inc.",5.82,USD,-2.9999999999999956,385721,0.9436056887249236,45039410,USD,,-5.2876,USD,93.83677166005965,0,ヘルスケアテクノロジー,強い買い,47.95702053155107,0.38424720592861306,49.777413622752995,5.055600000000002,6.070500000000001,4.336850000000001
XTIA,"XTI Aerospace, Inc.",1.73,USD,-1.7045454545454561,717469,0.42362004310660445,59700218.99999999,USD,,-15.7921,USD,99.98919209875699,0,テクノロジーサービス,強い買い,17.1963701361646,0.015378040101090784,52.08868734065649,1.593200000000001,1.756000000000001,1.767374999999821
SSSS,SuRo Capital Corp.,9.34,USD,-1.4767932489451536,108294,0.4974688777619551,234612314,USD,3.8431469365921904,2.4303,USD,,5.35331905781585,その他,強い買い,13.37235564026686,-0.007895097087736502,48.307161410821195,9.432999999999996,9.392000000000005,8.609374999999998
PLSE,"Pulse Biosciences, Inc.",23.67,USD,2.868318122555411,303193,0.4102055878272199,1604058579,USD,,-1.1352,USD,-40.63429137760158,0,ヘルスケアテクノロジー,強い買い,36.80398378144065,2.5464857211564897,70.98886954507665,15.509199999999975,17.411499999999997,15.970749999999988
AKTX,Akari Therapeutics Plc Sponsored ADR,0.244,USD,4.721030042918447,233801,1.323316245759947,7957994,USD,,-0.4813,USD,,0,ヘルスケアテクノロジー,強い買い,19.18632240179523,-0.015399248713932612,43.291989039888406,0.27739199999999964,0.2472249999999999,0.7980650000000007
SPRY,"ARS Pharmaceuticals, Inc.",9.38,USD,5.988700564971765,886195,0.7227601404749593,927199972.0000001,USD,,-0.8103,USD,-59.69649191959008,0,ヘルスケアテクノロジー,強い買い,20.76626197781091,-0.39502761927180075,42.41436152153807,10.560800000000002,9.975000000000003,12.345000000000013
