シンボル,詳細,価格,価格 - 通貨,価格変動 % 1日,出来高 1日,相対ボリューム 1日,時価総額,時価総額 - 通貨,PER (株価収益率),"希薄化EPS, 直近12ヶ月","希薄化EPS, 直近12ヶ月 - 通貨","希薄化EPS成長率 %, 直近12ヶ月前年比","配当利回り %, 直近12ヶ月",セクター,アナリストの評価,ADX (平均方向性指数) (14) 1日,"MACD (移動平均収束拡散) (12,26) 1日, Level",RSI (相対力指数) (14) 1日,SMA (単純移動平均) (50) 1日,SMA (単純移動平均) (20) 1日,SMA (単純移動平均) (200) 1日
AVBP,"ArriVent BioPharma, Inc.",23.25,USD,2.0632133450395034,315398,0.526568592505282,959791635.0000001,USD,,-4.2351,USD,-75.30838645583245,0,ヘルスケアテクノロジー,強い買い,15.223789679414754,0.15355774282432577,57.74136779051316,22.217199999999977,22.555500000000002,20.809975000000023
LIDR,"AEye, Inc. Class A",1.65,USD,2.4844720496894293,293413,0.4992499671605404,74340743,USD,,-2.1773,USD,73.50797571392069,0,テクノロジーサービス,強い買い,27.71716568990929,-0.12254751827886001,42.64647144177049,2.0255999999999985,1.7109999999999996,2.026615499999999
SMP,"Standard Motor Products, Inc.",44.34,USD,0.2713704206241623,119880,0.9953644314142593,975444060.0000001,USD,14.43218435699639,3.0723,USD,10.709523981117785,2.79657194406856,耐久消費財,強い買い,40.85083054440646,1.518554683217971,66.78966822564848,39.693,42.23099999999999,36.48274999999998
NKLR,Terra Innovatum Global N.V.,4.14,USD,-3.944315545243618,485183,1.050807181171613,457473767.4,USD,41.77598385469223,0.0991,USD,,0,生産財製造,強い買い,19.145018876963587,-0.358542985028393,38.46389903252057,5.197199999999986,4.890999999999997,8.771122999999996
DWTX,Dogwood Therapeutics Inc,2.98,USD,-0.6666666666666672,8475,0.2821548305905775,99220754.99999999,USD,,-24.9347,USD,-295.27440474303285,0,ヘルスケアテクノロジー,強い買い,25.190905376801275,-0.20492746049499022,41.11629778743447,3.9648400000000072,3.0259999999999994,4.97596449999999
XPEL,"XPEL, Inc.",50.15,USD,-3.945604290365835,364536,1.5541016985570664,1388081942.9999998,USD,29.76614434947768,1.6848,USD,-4.109277177006251,0,耐久消費財,強い買い,17.237321732157024,0.11380679571716001,41.152908307986,52.14850000000001,52.93449999999997,40.452299999999994
BRCC,BRC Inc Class A,0.7018,USD,1.0656682027649715,855403,0.9137366806842255,174423055,USD,,-0.1406,USD,-85.4881266490765,0,非耐久消費財,強い買い,53.10390420508242,-0.08702933544820446,32.711004799807455,1.007546000000004,0.8182699999999995,1.407536500000003
JAKK,"JAKKS Pacific, Inc.",17.73,USD,1.1986301369863064,69667,0.6645065537837586,199808750,USD,36.05124034160228,0.4918,USD,-82.02091101849821,5.64015792442188,耐久消費財,強い買い,19.38243418251866,-0.10975100474709265,45.361072026083136,17.743600000000008,18.314000000000007,18.493150000000007
SXI,Standex International Corporation,253.93,USD,-1.5889625237375367,96800,0.6475600765833446,3077309885,USD,56.83557903218586,4.4678,USD,-2.462559490023122,0.511952112786989,電子テクノロジー,強い買い,11.021985187413332,5.053520105477503,54.67298923037588,240.408,249.94249999999988,204.92429999999996
XGN,"Exagen, Inc.",3.28,USD,-0.9063444108761405,141007,0.3135943287168313,74334965,USD,,-0.9257,USD,1.3428540978365187,0,ヘルスケアサービス,強い買い,39.84688926680084,-0.6123124170607266,24.92272849139225,5.239799999999991,3.7915000000000036,7.802125000000002
