シンボル,詳細,価格,価格 - 通貨,価格変動 % 1日,出来高 1日,相対ボリューム 1日,時価総額,時価総額 - 通貨,PER (株価収益率),"希薄化EPS, 直近12ヶ月","希薄化EPS, 直近12ヶ月 - 通貨","希薄化EPS成長率 %, 直近12ヶ月前年比","配当利回り %, 直近12ヶ月",セクター,アナリストの評価,ADX (平均方向性指数) (14) 1日,"MACD (移動平均収束拡散) (12,26) 1日, Level",RSI (相対力指数) (14) 1日,SMA (単純移動平均) (50) 1日,SMA (単純移動平均) (20) 1日,SMA (単純移動平均) (200) 1日
DHT,"DHT Holdings, Inc.",16.89,USD,1.258992805755401,4321516,1.2565748585816956,2711824242,USD,12.864650773097724,1.3129,USD,16.85803293279929,4.38129070455891,交通・輸送,強い買い,47.0649915427337,0.8544738086488568,84.11844925854878,13.490799999999997,14.752,12.295800000000009
COSO,"CoastalSouth Bancshares, Inc.",25.13,USD,-0.19857029388403777,33226,0.3995997508063915,339479900.99999994,USD,11.615437947769816,2.1635,USD,3.7003307290418412,0,金融,強い買い,47.0502038250627,0.409062381572852,61.414917742225654,24.102000000000004,24.662499999999977,22.017605499999995
GCTS,"GCT Semiconductor Holding, Inc. Class A",1.25,USD,2.4590163934426252,1008681,0.49143128806630154,71374450,USD,,-0.7615,USD,-185.8483483483483,0,電子テクノロジー,強い買い,40.89505970360808,0.019011668455714004,55.56336935804965,1.2175180000000005,1.171795,1.3490795000000038
CELZ,"Creative Medical Technology Holdings, Inc.",1.945,USD,0.25773195876289257,9911,0.3482492665015197,6797129,USD,,-2.9066,USD,23.442027076858242,0,ヘルスケアテクノロジー,強い買い,21.113640583473696,-0.06382710800330749,47.618235584795435,2.0496000000000016,1.9847499999999996,2.703174999999998
MBOT,Microbot Medical Inc,2.15,USD,2.3809523809523725,989376,0.25038513402041346,144389814.99999997,USD,,-0.4533,USD,43.28787689228075,0,ヘルスケアテクノロジー,強い買い,27.851392555041105,0.017128827132874225,58.12950533267487,2.0725999999999996,1.9334999999999993,2.5853749999999995
EVMN,"Evommune, Inc.",28.73,USD,-7.620578778135051,507526,0.24211015357011656,905687194.9999999,USD,,,,,0,ヘルスケアテクノロジー,強い買い,28.495044804262896,3.043554891139138,63.34982891350285,19.8356,22.637999999999998,
BCAL,California BanCorp,18.86,USD,0,182325,0.9281578110085905,609605216.0000001,USD,9.798420615128844,1.9248,USD,906.1683220073184,0.530222693531283,金融,強い買い,12.827310127134497,0.06139047322487201,51.84534741428572,18.9076,18.710000000000004,17.12275000000001
TZOO,Travelzoo,5.05,USD,-10.934744268077603,422558,2.6694572616959875,55208303,USD,12.882653061224488,0.392,USD,-62.75534441805225,0,商業サービス,強い買い,40.263380799803464,-0.2870793396961995,33.8864706403689,6.356399999999992,5.634499999999999,9.61320000000002
CEVA,"CEVA, Inc.",19.67,USD,-2.0905923344947643,505234,1.1457511977759591,531440228.00000006,USD,,-0.4427,USD,-18.718155001340833,0,電子テクノロジー,強い買い,16.977100884213595,-0.4071694206034202,35.440378255754084,22.141600000000007,21.89349999999998,23.08804999999998
LQDT,"Liquidity Services, Inc.",31.78,USD,0.1260239445494729,176652,0.821650202840417,985621181,USD,34.58859381802351,0.9188,USD,21.95380939739846,0,小売業,強い買い,14.272424406889122,0.062222888448804525,51.57154551936631,31.5104,31.872000000000003,26.867550000000005
XELB,"XCel Brands, Inc.",1.99,USD,-2.9268292682926753,30102,0.5081449720623235,11728692,USD,,-7.8531,USD,24.23371185443178,0,非耐久消費財,強い買い,25.86369228409973,0.16668495132960404,68.25830211284102,1.3899999999999997,1.6567499999999993,1.5674989999999998
ZYME,Zymeworks Inc.,23.32,USD,1.7896115233522487,535233,0.9506769070092114,1758461404.9999998,USD,,-0.8469,USD,43.82834781455197,0,ヘルスケアテクノロジー,強い買い,20.95117793037879,-0.2811628184625157,50.47690834818585,24.377700000000004,22.888500000000004,17.774500000000003
SEG,Seaport Entertainment Group Inc.,20.6,USD,1.0794896957801885,59372,0.3868396842316503,262342471.00000003,USD,,-9.5626,USD,53.367046878733646,0,消費者サービス,強い買い,13.603166368873593,0.037679306491224196,54.06599604419787,20.270000000000003,20.006499999999992,21.777100000000004
CNTY,"Century Casinos, Inc.",1.587,USD,2.387096774193543,64993,1.5532029298952073,46729306,USD,,-4.3705,USD,-80.41279669762642,0,消費者サービス,強い買い,13.787564416204917,0.001725904141057999,58.05634786963195,1.4867399999999995,1.54135,2.017584999999999
OPTT,"Ocean Power Technologies, Inc.",0.4155,USD,-2.235294117647061,2794986,0.5860289945954437,81005848.00000001,USD,,-0.1848,USD,41.0338225909381,0,生産財製造,強い買い,16.218415860714458,-0.006403177203296917,44.31338311321955,0.426446,0.48218000000000005,0.4958440000000002
LSTA,"Lisata Therapeutics, Inc.",4.52,USD,-0.6593406593406648,31690,0.3625758560405664,39869713,USD,,-2.1255,USD,15.315351209211517,0,ヘルスケアテクノロジー,強い買い,62.16114453833157,0.4362792267898836,76.11699518866993,3.058799999999999,4.501499999999999,2.600673999999998
IDR,Idaho Strategic Resources Inc,39.07,USD,0.3338469440164421,285138,0.9096111810800568,609194041,USD,56.159264050596526,0.6957,USD,34.7472399767577,0,非エネルギー鉱物,強い買い,22.39667998410486,-1.1731073127390488,48.21998055717923,42.3618,39.47699999999999,29.363450000000007
ULY,Urgent.ly Inc.,2.07,USD,-5.045871559633042,30366,0.13210316628223948,4535256.000000001,USD,,-20.5792,USD,-124.63070459958587,0,テクノロジーサービス,強い買い,15.021369396042733,-0.08094245029415692,44.405576189878786,2.388680000000001,2.2005000000000003,4.106975499999959
IDAI,"T Stamp, Inc. Class A",2.6,USD,-3.703703703703707,121735,1.1269860079134812,13638638.999999998,USD,,-46.8581,USD,-261.65708331725386,0,テクノロジーサービス,強い買い,22.612927125012654,-0.3010813225758011,33.21031243606281,3.676400000000001,3.2694999999999994,3.2366824999999984
REZI,"Resideo Technologies, Inc.",36.13,USD,-1.8206521739130288,935932,0.74293053412331,5409200772,USD,,-4.6802,USD,-495.3205507221894,0,流通サービス,強い買い,8.765608223972277,0.14811621435605105,51.65034011846374,35.79640000000002,35.55700000000001,31.838449999999966
