シンボル,詳細,価格,価格 - 通貨,価格変動 % 1日,出来高 1日,相対ボリューム 1日,時価総額,時価総額 - 通貨,PER (株価収益率),"希薄化EPS, 直近12ヶ月","希薄化EPS, 直近12ヶ月 - 通貨","希薄化EPS成長率 %, 直近12ヶ月前年比","配当利回り %, 直近12ヶ月",セクター,アナリストの評価,ADX (平均方向性指数) (14) 1日,"MACD (移動平均収束拡散) (12,26) 1日, Level",RSI (相対力指数) (14) 1日,SMA (単純移動平均) (50) 1日,SMA (単純移動平均) (20) 1日,SMA (単純移動平均) (200) 1日
KRYS,"Krystal Biotech, Inc.",274.59,USD,4.885408708938106,294372,0.8098148775272328,8026866719,USD,40.119515509255876,6.8443,USD,129.05957161981257,0,ヘルスケアテクノロジー,強い買い,20.6820896994028,1.747441501342223,52.28315371786318,264.42100000000005,274.5904999999999,187.6399249999999
PMVP,"PMV Pharmaceuticals, Inc.",1.03,USD,-0.9615384615384623,127580,0.7087313165025849,54807853.00000001,USD,,-1.5837,USD,-58.46507904742847,0,ヘルスケアテクノロジー,強い買い,19.48351531523516,-0.030424212642849113,40.37190508000103,1.1533999999999998,1.0935000000000004,1.2483975000000005
MTRX,Matrix Service Company,10.76,USD,-2.9756537421100093,214605,0.7119594119604403,302661639.99999994,USD,,-0.6899,USD,43.65863617803185,0,産業サービス,強い買い,34.024593222162885,-0.5580585907885567,31.101337963410927,12.447800000000004,12.351500000000001,13.122874999999986
GIFT,"Giftify, Inc.",0.98,USD,0.5128205128205132,9281,0.30894444259512,30344635,USD,,-0.4264,USD,38.75323182993393,0,テクノロジーサービス,強い買い,21.18441569660734,-0.027049487991757104,39.64575162965752,1.0479019999999994,1.0127550000000034,1.1805129999999984
CCSI,"Consensus Cloud Solutions, Inc.",29.22,USD,-2.1760964178105193,289549,0.8099463036334281,551350257,USD,6.722959758875365,4.3463,USD,-5.883499350368125,0,テクノロジーサービス,強い買い,32.65697494281809,1.8902225746123271,69.68335910669376,23.45310000000002,24.879000000000016,24.116024999999983
ACON,"Aclarion, Inc.",2.49,USD,-1.968503937007867,42010,0.7434621871344408,2625384,USD,,-1602.9371,USD,92.1946543389501,0,テクノロジーサービス,強い買い,24.858636414519804,-0.5150100652708729,32.50675240235903,4.302700000000047,2.874000000000002,6.546572999999551
FLXS,"Flexsteel Industries, Inc.",52.7,USD,-1.1813238327395377,32771,0.5630117546807407,281708356,USD,14.384758161371328,3.6636,USD,2.283767937908323,1.46110056925996,耐久消費財,強い買い,38.81155068378089,3.5260118253926436,60.5983498962539,44.24789999999995,49.120250000000006,39.75505000000003
NUTX,Nutex Health Inc,101.75,USD,0.6628413138108447,98569,0.5095406075468811,719567464,USD,5.278365703851261,19.2768,USD,,0,ヘルスケアサービス,強い買い,26.7928127495789,-14.928864329927379,33.6886153704225,150.75229999999993,121.46950000000008,124.03282499999996
MCS,Marcus Corporation,15.81,USD,-3.5387431360585726,95460,0.665446750666597,474541863.99999994,USD,67.27659574468086,0.235,USD,,1.89753320683112,消費者サービス,強い買い,23.955606707501964,0.2123003360514435,51.074836667555374,15.584000000000003,15.628,15.818600000000004
OESX,"Orion Energy Systems, Inc.",11.35,USD,-6.198347107438017,44371,0.8243689641462391,45999998,USD,,-1.379,USD,38.45673227116526,0,電子テクノロジー,強い買い,30.711269349530827,-1.1133898621979927,32.39484925810565,15.572799999999999,14.2045,10.199417649999997
XTNT,"Xtant Medical Holdings, Inc.",0.5876,USD,1.2928805378383146,78395,0.5514277896534576,82266492,USD,57.607843137254896,0.0102,USD,,0,ヘルスケアテクノロジー,強い買い,11.896266113553402,-0.02144894936077557,41.16342460099378,0.6706720000000002,0.5966499999999996,0.6645992499999998
CSTM,Constellium SE Class A,25.38,USD,-0.2358490566037825,1700315,0.6583941983448558,3497409272,USD,13.108827023397552,1.9361,USD,522.1401028277636,0,非エネルギー鉱物,強い買い,41.76234573735099,1.0207138684436998,63.883409698525604,21.689,24.098999999999997,16.24745
CNTY,"Century Casinos, Inc.",1.565,USD,-2.187500000000009,27567,0.6917448320510697,46081516,USD,,-4.3705,USD,-80.41279669762642,0,消費者サービス,強い買い,16.250551158149865,0.00771227842438682,53.693972732002166,1.4924399999999998,1.5391,2.018959999999999
UNCY,"Unicycive Therapeutics, Inc.",6.57,USD,4.617834394904459,541542,1.205899296179076,141198475,USD,,-3.2494,USD,59.20657836921725,0,ヘルスケアテクノロジー,強い買い,11.347439166763836,0.020254849537722386,53.122653066708224,6.2328,6.497500000000007,5.398374999999978
FSRL,"First Reliance Bancshares, Inc.",15.25,USD,0,330,0.050860780173543146,123982502.00000001,USD,11.586385047865067,1.3162,USD,83.11074012242628,0,金融,強い買い,42.418708148858244,0.7022896488844026,70.78919475272046,13.408500000000002,14.616499999999997,10.8282085
ALLR,"Allarity Therapeutics, Inc.",0.9423,USD,2.2017353579175687,73845,0.4077128932680587,15153108,USD,,-1.6053,USD,99.81829202654818,0,ヘルスケアテクノロジー,強い買い,24.66531998365701,-0.046556937065036275,47.354872107847825,1.0482900000000006,0.943475,1.1677304999999987
AVTX,Avalo Therapeutics Inc,14.8,USD,4.152005629838141,352238,0.9077969073804277,273988826,USD,,-8.73,USD,94.81066352175837,0,ヘルスケアテクノロジー,強い買い,14.916420183640211,-0.3852740572321185,47.36574455516173,16.4261,14.851999999999999,11.65075
APLD,Applied Digital Corporation,30,USD,3.305785123966945,14692377,0.5765778223932598,106894562,USD,,-0.5438,USD,68.57918761194894,0,テクノロジーサービス,強い買い,17.206906792213033,-0.570903474051093,43.0390048366736,31.946299999999987,34.76775000000001,21.679900000000004
ELWT,"Elauwit Connection, Inc.",6.69,USD,3.24074074074074,50168,0.9020863714255403,44286434,USD,,-0.2459,USD,,0,テクノロジーサービス,強い買い,16.51447087159327,0.23534028428757736,64.79338757208795,5.4341,5.510249999999999,
