シンボル,詳細,価格,価格 - 通貨,価格変動 % 1日,出来高 1日,相対ボリューム 1日,時価総額,時価総額 - 通貨,PER (株価収益率),"希薄化EPS, 直近12ヶ月","希薄化EPS, 直近12ヶ月 - 通貨","希薄化EPS成長率 %, 直近12ヶ月前年比","配当利回り %, 直近12ヶ月",セクター,アナリストの評価,ADX (平均方向性指数) (14) 1日,"MACD (移動平均収束拡散) (12,26) 1日, Level",RSI (相対力指数) (14) 1日,SMA (単純移動平均) (50) 1日,SMA (単純移動平均) (20) 1日,SMA (単純移動平均) (200) 1日
VITL,"Vital Farms, Inc.",25.76,USD,0.7430582714118157,1842983,1.2100964868795572,1153391668,USD,19.52550595012507,1.3193,USD,17.271111111111104,0,素材産業,強い買い,17.67535278074671,-0.7590123863269156,38.645048208918205,29.461999999999993,27.077999999999985,36.3132
FC,Franklin Covey Co.,13.63,USD,-0.728332119446465,240061,1.8954932675764302,157461288,USD,,-0.1186,USD,-108.04285908042858,0,商業サービス,強い買い,34.77342584283993,-1.1715818900417219,18.45267849521457,18.238399999999853,18.290000000000003,19.196750000000044
ELMD,"Electromed, Inc.",23.15,USD,-5.161818926669405,78147,0.5287032977738809,191573502,USD,22.532606579715782,1.0274,USD,36.07947019867551,0,ヘルスケアテクノロジー,強い買い,27.52012738514408,-1.2481591993408934,32.47741138331337,27.935399999999987,26.913999999999994,23.881699999999988
ROCK,"Gibraltar Industries, Inc.",50.79,USD,0.773809523809525,146180,0.7221650526062017,1500471813.0000002,USD,686.3513513513514,0.074,USD,-97.94175729424526,0,生産財製造,強い買い,12.314219319797024,-0.10120297558047753,43.47496900745757,52.012000000000015,52.59099999999995,58.58399999999997
HIND,"Vyome Holdings, Inc.",3.14,USD,8.275862068965525,191732,1.3142086316141572,17723712,USD,,-177.3844,USD,89.18121293294202,0,ヘルスケアテクノロジー,強い買い,19.604459743793793,-0.06743505678720307,56.84128743372514,3.11963999999996,2.5750000000000055,8.159510000000065
OLMA,"Olema Pharmaceuticals, Inc.",24.69,USD,1.3546798029556726,1629201,1.2570413406786722,1942113459.9999998,USD,,-1.812,USD,17.230038370180885,0,ヘルスケアテクノロジー,強い買い,13.552933520607018,-0.6030039581622226,49.66653869173008,26.60440000000001,24.561499999999988,13.030625
DAVE,"Dave, Inc. Class A",169.31,USD,2.2465124705598156,271209,0.6292850056011933,2286376019,USD,16.777652258358604,10.0914,USD,223.75360923965354,0,金融,強い買い,19.792378163538547,-5.991146688619978,42.58519280148404,195.3948,173.45200000000017,209.28207499999985
PLX,"Protalix Biotherapeutics, Inc.",3,USD,-4.458598726114653,2836416,1.7093419191262376,241263542,USD,43.165467625899275,0.0695,USD,,0,ヘルスケアテクノロジー,強い買い,46.31763104409733,0.252766816674419,65.06911488634495,2.2374000000000005,2.759000000000001,1.8970499999999981
AVO,"Mission Produce, Inc.",14.46,USD,1.5449438202247237,288569,0.541884918019365,1024335868.9999999,USD,27.28301886792453,0.53,USD,2.5740274820979248,0,素材産業,強い買い,18.224215811230525,0.45529358043518897,64.44537344143055,13.006800000000021,13.929499999999996,12.201375000000008
PTHS,Pelthos Therapeutics Inc.,23.24,USD,-4.8009175815172895,4499,0.9810720048846444,75194019,USD,,,,,0,ヘルスケアテクノロジー,強い買い,13.784384986438797,-0.7167453188340716,49.98172955898641,24.42342000000001,22.91705000000001,40.81622899999988
MPTI,M-tron Industries Inc,65.52,USD,-0.5917159763313617,25353,0.7746222826502085,191960363,USD,26.722133855377457,2.4519,USD,22.797616066509754,0,電子テクノロジー,強い買い,17.077259822979922,1.2623766892593338,59.02006161071044,59.90119999999998,63.85400000000002,50.88339999999992
XTIA,"XTI Aerospace, Inc.",1.68,USD,2.4390243902439046,965698,0.6381649886908372,57974777,USD,,-15.7921,USD,99.98919209875699,0,テクノロジーサービス,強い買い,16.5049315225726,0.007410889913580521,48.98114041730544,1.6196000000000013,1.713500000000001,1.7778499999998174
AGIG,Abundia Global Impact Group Inc.,3.44,USD,-0.5780346820809253,784368,0.5778954801999739,119136024.00000001,USD,,-9.4419,USD,-195.23467058566024,0,エネルギー鉱物,強い買い,25.67324759845367,0.19188569966399527,53.548915353574024,2.675000000000007,3.214500000000002,6.246794999999994
NEPH,"Nephros, Inc.",3.88,USD,2.917771883289121,32840,0.5691004781206513,41231528,USD,28.095582910934105,0.1381,USD,,0,ヘルスケアテクノロジー,強い買い,7.853176063579093,-0.1969126052514616,43.74325084483326,4.52,4.076499999999999,4.249182999999998
CGEH,"Capstone Green Energy Holdings, Inc.",5.99,USD,6.017699115044245,117147,1.6060778888891936,140373751.17,USD,105.83038869257952,0.0566,USD,,0,生産財製造,強い買い,14.2366955443374,0.12595102147649406,58.884932742451326,5.346049999999999,5.350049999999999,2.819887
TENX,"Tenax Therapeutics, Inc.",11.65,USD,-3.7190082644628046,105232,0.7654672658578845,72737647,USD,,-1.1338,USD,92.88828115689313,0,ヘルスケアテクノロジー,強い買い,19.07432203929811,-0.3386658575498327,37.66581311399143,13.076200000000004,12.826999999999998,8.235999500000013
SLE,"Super League Enterprise, Inc.",3.355,USD,-1.6129032258064562,24585,1.4273687877380195,3891800,USD,,-422.3796,USD,86.63775169313936,0,テクノロジーサービス,強い買い,17.582888413018857,-1.0332869573085084,27.665868069934646,6.553274000000085,4.639745000000001,36.969712099999896
ACOG,Alpha Cognition Inc,6.01,USD,2.037351443123941,123440,1.2225873609188025,130670047,USD,,-1.3667,USD,52.51546105204642,0,金融,強い買い,18.361642871910423,0.035519723067664266,58.14067191201789,5.6954000000000145,5.311750000000196,7.567324999999898
FLOC,Flowco Holdings Inc Class A,22.43,USD,-0.7961079168509497,312893,0.9158494378917839,2011135647,USD,43.561856671198285,0.5149,USD,,1.06999554168524,産業サービス,強い買い,35.35925741020694,0.7426882262132004,57.60332277188859,20.231399999999997,21.931000000000015,17.82815
BLX,"Banco Latinoamericano de Comercio Exterior, S.A. Class E",49.63,USD,0.6897950902820114,114172,0.6932577808731725,1740960190.0000002,USD,8.127937636134359,6.1061,USD,8.969394128669569,5.03727584122507,金融,強い買い,36.232035079711835,0.9369094671851386,57.39164236894307,46.45060000000002,49.35099999999995,44.32909999999998
CFBK,CF Bankshares Inc,30.33,USD,-0.6550933508024986,29301,0.494217181641386,195439693.99999997,USD,11.29608938547486,2.685,USD,30.131342994232547,1.05506099571381,金融,強い買い,46.12938736650517,0.8384732115363569,50.50739164428464,28.2288,31.116749999999946,24.98567500000001
ANIK,"Anika Therapeutics, Inc.",10.85,USD,-0.6410256410256436,223718,2.204109540455013,156470229.99999997,USD,,-2.2788,USD,65.68123974036536,0,ヘルスケアテクノロジー,強い買い,35.05351442868972,0.31601042860530093,66.44144902451423,9.754199999999976,10.142999999999999,9.958024999999981
MLCI,Mount Logan Capital Inc,5.3,USD,2.9126213592232904,27396,0.25462599367431554,151930330,USD,,-2.0112,USD,-1453.050193050193,0.566037735849057,金融,強い買い,51.768206267672426,-0.7474658737951332,21.41761932303936,7.653499999999997,6.662000000000008,
CDZI,Cadiz Inc.,5.34,USD,2.2988505747126458,807494,1.1419106378640016,443807822.99999994,USD,,-0.4891,USD,4.11683983532641,0,金融,強い買い,23.448262051404463,-0.14951287661362223,48.559035382530446,5.660299999999999,5.2375,4.39935
ACHV,"Achieve Life Sciences, Inc.",4.39,USD,4.028436018957344,430401,1.2029397050233237,233697208,USD,,-1.3777,USD,-22.0607778860636,0,ヘルスケアテクノロジー,強い買い,27.843651278165588,-0.1498404546448553,47.68851376055717,4.6999,4.2685,3.7141500000000054
ASPI,"ASP Isotopes, Inc.",5.42,USD,1.6885553470919297,2645424,0.7784305083610635,678096873.9999999,USD,,-1.425,USD,-137.42085971342888,0,ヘルスケアテクノロジー,強い買い,27.11370841600592,-0.3960329905185498,42.53437015698796,6.284299999999999,5.899750000000006,8.041075000000001
SNGX,"Soligenix, Inc.",1.15,USD,4.545454545454529,90354,0.724311333467474,11599049,USD,,-3.6581,USD,53.13012505125051,0,ヘルスケアテクノロジー,強い買い,29.913360603411153,-0.06308918553689224,45.019193037845376,1.3043999999999984,1.1595000000000002,1.7608699999999942
LONA,"LeonaBio, Inc.",5.94,USD,2.413793103448286,77718,1.0916446023864539,55455321.99999999,USD,,-9.6577,USD,66.10381861575179,0,ヘルスケアテクノロジー,強い買い,23.977455377043103,-0.04376806751769191,60.70477606116362,5.741800000000003,4.920499999999998,18.76255000000001
DOLE,Dole Plc,15.99,USD,1.2025316455696171,547562,0.9143137095125949,1521650891,USD,52.40904621435595,0.3051,USD,-83.9530847314995,2.09505941213258,流通サービス,強い買い,33.90470964765097,0.19734366272433057,58.587171981088474,15.336299999999968,15.936250000000001,14.24277499999999
OTH,Off The Hook YS Inc.,2.54,USD,5.39419087136929,23009,0.6400776694707794,60325000,USD,,,,,0,小売業,強い買い,18.642506163518593,-0.04518310135186354,47.18604571512512,2.521748,2.6710000000000007,
ADAG,"Adagene, Inc. Sponsored ADR",3.35,USD,4.037267080745338,43368,0.6461946958036384,157889749,USD,,-0.6447,USD,11.527377521613829,0,ヘルスケアテクノロジー,強い買い,32.95131234526895,0.2921862903761805,66.57651569274071,2.289,2.9600000000000004,2.0240915000000004
SOPH,SOPHiA GENETICS SA,4.54,USD,-1.304347826086948,101149,0.7407979751077701,308025620,USD,,-1.1157,USD,-2.649737786364885,0,テクノロジーサービス,強い買い,12.899380020293636,-0.10257718448556297,36.651806463697106,4.922399999999997,4.8950000000000005,3.988981000000003
WEST,Westrock Coffee Company,4.88,USD,-0.40816326530613184,149491,0.7019124627247957,472505548.99999994,USD,,-0.9739,USD,-13.959747250175516,0,非耐久消費財,強い買い,21.648839030878555,0.10778515679113632,53.8974858608135,4.526399999999998,4.919999999999997,5.384275000000003
CSBR,"Champions Oncology, Inc.",5.8,USD,-0.8547008547008517,7508,0.8445634322481946,80540692,USD,34.85576923076923,0.1664,USD,,0,ヘルスケアテクノロジー,強い買い,22.80312239106543,-0.2973521896727007,36.23834985661369,6.720639999999995,6.472100000000002,6.786233499999996
LIDR,"AEye, Inc. Class A",1.6,USD,1.2658227848101276,213411,0.4940810566029349,72087995,USD,,-2.1773,USD,73.50797571392069,0,テクノロジーサービス,強い買い,23.43535178834135,-0.09521391488721886,41.89729966143735,1.9463999999999988,1.6439999999999995,2.0456734999999986
SPOK,"Spok Holdings, Inc.",13.81,USD,-0.07235890014471626,131117,0.8142410996232371,284460727.00000006,USD,17.256028989129078,0.8003,USD,11.462395543175493,9.05141202027516,通信,強い買い,13.542427202235686,0.10259584965645097,59.01133348960472,13.319599999999998,13.5215,15.618099999999968
KMDA,Kamada Ltd,9.2,USD,3.6036036036035863,145835,1.9783652965682652,530670651.72125435,USD,24.156409855042217,0.38085129599999995,USD,38.85617826586085,0,ヘルスケアテクノロジー,強い買い,27.577198322632846,0.2891566831958787,67.6408765956464,7.9200000000000035,8.532500000000002,7.292025000000006
ESCA,"Escalade, Incorporated",14.42,USD,2.197023387668324,8005,0.6957421104322206,199050008,USD,15.840931561023838,0.9103,USD,-3.4164456233421756,4.16088765603329,耐久消費財,強い買い,19.712466586403142,0.053274998279096764,57.53532825004135,13.873599999999975,14.298000000000005,13.260275000000002
CASI,"CASI Pharmaceuticals, Inc.",0.8,USD,5.7082452431289665,19593,0.6640074286953692,12394145,USD,,-3.1621,USD,-42.2575130466079,0,ヘルスケアテクノロジー,強い買い,15.228202026742425,-0.05114060385866681,41.9848232173019,0.8958599999999997,0.8823650000000003,1.4599654999999945
DXR,Daxor Corporation,12,USD,-1.7199017199017268,10307,1.6699881721998089,69926760,USD,32.90375651220181,0.3647,USD,3.431650595575723,0,その他,強い買い,8.84268927766365,-0.272014423306695,40.61746613463267,13.035484000000007,12.391250000000001,11.237265810000002
PSIX,"Power Solutions International, Inc.",95.55,USD,8.039348710990502,541057,1.0118380055314218,2201560911.9999995,USD,18.17369141813755,5.2576,USD,122.46858206744804,0,生産財製造,強い買い,25.61426073559993,5.388371287188775,62.776456985076976,74.00870000000002,82.64750000000001,73.5408
MOB,Mobilicom Ltd.,5.31,USD,5.988023952095805,156951,0.5636305982490395,52779642.38999999,USD,,-0.0031,USD,8.823529411764703,0,電子テクノロジー,強い買い,22.224484386163056,-0.5954303277087218,41.22996992707808,6.809999999999998,6.235749999999999,5.5876505000000005
IPWR,Ideal Power Inc.,2.98,USD,-8.588957055214719,269998,3.428267416997222,25578931.999999996,USD,,-1.2384,USD,11.409972101008654,0,電子テクノロジー,強い買い,21.854699823044093,-0.19052093050976415,38.54041545178008,3.6501,3.874749999999999,4.601052000000002
DFIN,"Donnelley Financial Solutions, Inc.",49.01,USD,4.343197785820735,229300,0.4773355144076012,1255635263,USD,45.89381028186159,1.0679,USD,-65.14117839072956,0,テクノロジーサービス,強い買い,24.865165074665523,-0.8306117260348103,53.15883952063834,48.54060000000006,47.23899999999996,52.850599999999964
AMIX,"Autonomix Medical, Inc.",0.3732,USD,4.274937133277446,59731,0.35511721704058485,4257967,USD,,-4.0935,USD,67.32310492368607,0,ヘルスケアテクノロジー,強い買い,8.196647004541187,-0.03777625173582272,37.59513293149145,0.4884040000000025,0.38856499999999994,1.0570362499999952
CAPR,"Capricor Therapeutics, Inc.",27.91,USD,0.14352350197344507,784301,0.6495951651562336,1518325754,USD,,-1.7987,USD,-69.35316825157706,0,ヘルスケアテクノロジー,強い買い,19.803753947123123,0.9789206361202467,60.89253033943075,25.608600000000006,24.597499999999997,12.876299999999999
ETON,"Eton Pharmaceuticals, Inc.",18.28,USD,0,434462,1.610201528138926,490224565.99999994,USD,,-0.2491,USD,-16.674473067915688,0,ヘルスケアテクノロジー,強い買い,35.282370589760845,0.6638431111581582,71.6693336471179,16.0796,16.073999999999995,16.816650000000003
FRST,Primis Financial Corp.,13.27,USD,-0.5992509363295886,69641,0.5249700166821074,327030992.00000006,USD,,,,,3.01431801055011,金融,強い買い,21.461731356777808,0.03812155839889364,40.48553197838466,13.563199999999979,13.850999999999994,11.397875000000015
TPST,"Tempest Therapeutics, Inc.",2.49,USD,3.750000000000013,37511,0.7008821050940122,33567866,USD,,-10.103,USD,49.43468751407651,0,ヘルスケアテクノロジー,強い買い,34.72093589227381,-0.1440816537532501,45.36846065994621,2.7230000000000025,2.4660000000000015,6.755153499999997
PRSO,"Peraso, Inc.",0.86,USD,0.6083294337856788,118432,0.5344230692865575,8057308.000000001,USD,,-0.9357,USD,94.29465134996707,0,電子テクノロジー,強い買い,15.07504641008684,-0.0272006105457131,42.821447327042605,0.9457060000000003,0.8857100000000002,1.0560719999999997
CODA,"Coda Octopus Group, Inc.",14.24,USD,2.9645697758496032,176733,0.685068716966724,160492993.00000003,USD,38.949671772428886,0.3656,USD,13.188854489164079,0,電子テクノロジー,強い買い,37.962439312576294,0.9029824195416918,67.03050344897675,10.837499999999999,12.105249999999996,8.777317499999999
CDNL,"Cardinal Infrastructure Group, Inc.",34.22,USD,1.3625592417061638,479649,1.4798582739259936,452345641.00000006,USD,,,,,,産業サービス,強い買い,26.81002465295415,1.858115284865118,74.45707484137579,25.7982,27.02049999999999,
FBRX,Forte Biosciences Inc.,28.5,USD,-0.6622516556291435,221129,1.424758029079035,357017637,USD,,-4.4441,USD,77.07785308286655,0,ヘルスケアテクノロジー,強い買い,14.474638236089227,0.05360794444061767,46.84274568449953,28.682100000000005,30.406,16.469675000000006
