シンボル,詳細,価格,価格 - 通貨,価格変動 % 1日,出来高 1日,相対ボリューム 1日,時価総額,時価総額 - 通貨,PER (株価収益率),"希薄化EPS, 直近12ヶ月","希薄化EPS, 直近12ヶ月 - 通貨","希薄化EPS成長率 %, 直近12ヶ月前年比","配当利回り %, 直近12ヶ月",セクター,アナリストの評価,ADX (平均方向性指数) (14) 1日,"MACD (移動平均収束拡散) (12,26) 1日, Level",RSI (相対力指数) (14) 1日,SMA (単純移動平均) (50) 1日,SMA (単純移動平均) (20) 1日,SMA (単純移動平均) (200) 1日
MLCI,Mount Logan Capital Inc,5.61,USD,5.849056603773595,102464,1.1181155806586434,160816821,USD,,-2.0112,USD,-1453.050193050193,0.53475935828877,金融,強い買い,51.66730777838124,-0.714549151607554,30.388201849967956,7.598899999999997,6.538500000000008,
BTCS,"BTCS, Inc.",1.77,USD,10.624999999999996,1156464,1.4319909429480269,82904200,USD,2.536906980077397,0.6977,USD,96.03821298117448,0,金融,強い買い,41.49522035074625,-0.2729037349901591,41.85877206277217,2.4638000000000004,1.8160000000000003,3.4783499999999985
TLPH,"Talphera, Inc.",0.9598,USD,8.981491995003967,279340,1.0389705064637178,44735909,USD,,-0.378,USD,44.395410414827886,0,ヘルスケアテクノロジー,強い買い,25.744622265578133,-0.03482810236745215,55.84980602489657,0.9966480000000003,0.8571400000000002,0.8335077399999995
FSI,Flexible Solutions International Inc,5.36,USD,1.3232514177693815,12131,0.7049423250138013,68031792,USD,36.86382393397524,0.1454,USD,-56.33633633633634,0,素材産業,強い買い,33.09014692705846,-0.25302467013611807,35.113215902956156,6.211150000000001,5.627625,6.824696999999997
ZYME,Zymeworks Inc.,24.12,USD,2.073635209479484,582398,1.110131144222428,1818786067.9999998,USD,,-0.8469,USD,43.82834781455197,0,ヘルスケアテクノロジー,強い買い,19.500340325068226,-0.08127260882918463,57.031928911537136,24.186400000000003,22.914000000000005,18.005550000000003
MATV,"Mativ Holdings, Inc.",11.02,USD,1.7543859649122762,381263,0.9398100822592338,602585903,USD,,-6.2565,USD,-594.6264016875764,3.62976406533575,素材産業,強い買い,29.349755082833013,-0.3387532698316047,33.64230800903793,12.832800000000004,13.200999999999993,10.436850000000009
AISP,Airship AI Holdings Inc Class A,2.81,USD,-3.436426116838491,606216,1.0729386078325283,96585772.99999999,USD,3.8865836791148,0.723,USD,,0,テクノロジーサービス,強い買い,26.221322465748326,-0.15511721604117312,49.7158641374671,3.0046999999999984,2.706000000000002,4.394474999999999
OCC,Optical Cable Corporation,6.36,USD,1.9230769230769247,68335,0.7878423139402031,56413649,USD,,-0.1897,USD,65.17348999449239,0,電子テクノロジー,強い買い,28.370074477315853,0.2671959632598053,61.11980242372259,5.2433,5.544749999999998,5.873234999999998
OESX,"Orion Energy Systems, Inc.",11.91,USD,0.16820857863750693,42689,1.059285654023097,48269599,USD,,-1.379,USD,38.45673227116526,0,電子テクノロジー,強い買い,33.18377450180002,-1.1149409425426562,36.786200000688424,15.3276,13.721499999999997,10.247472649999997
PMNT,Perfect Moment Ltd.,0.2481,USD,-3.5384776886559637,100060,1.5959321752750135,11628694.999999998,USD,,-0.6403,USD,29.528945630640546,0,小売業,強い買い,26.405590884765513,-0.032530618188793436,29.695517596099478,0.3792949999999996,0.30764004999999967,0.4461670950000011
