シンボル,詳細,価格,価格 - 通貨,価格変動 % 1日,出来高 1日,相対ボリューム 1日,時価総額,時価総額 - 通貨,PER (株価収益率),"希薄化EPS, 直近12ヶ月","希薄化EPS, 直近12ヶ月 - 通貨","希薄化EPS成長率 %, 直近12ヶ月前年比","配当利回り %, 直近12ヶ月",セクター,アナリストの評価,ADX (平均方向性指数) (14) 1日,"MACD (移動平均収束拡散) (12,26) 1日, Level",RSI (相対力指数) (14) 1日,SMA (単純移動平均) (50) 1日,SMA (単純移動平均) (20) 1日,SMA (単純移動平均) (200) 1日
LNSR,LENSAR Inc,11.86,USD,-2.3064250411861704,32577,0.7400079504798682,141662308,USD,,-4.3869,USD,-200.88477366255142,0,ヘルスケアテクノロジー,強い買い,23.585440730691715,-0.06152375653653408,47.34028378889589,11.995799999999992,12.112000000000002,12.248325000000001
RCAT,Red Cat Holdings Inc,12.99,USD,4.589371980676331,9057909,1.0410914103762663,1550631075,USD,,,,,0,テクノロジーサービス,強い買い,17.38305608296396,0.028093022177392513,52.43300941870122,11.819000000000003,12.684500000000003,9.747650000000013
TRNR,Interactive Strength Inc,1.95,USD,-5.797101449275358,234553,0.061070496575262166,3506892,USD,,-951.6345,USD,99.87794111988426,0,小売業,強い買い,11.337853433450807,-1.680740962946122,23.55575290309423,7.963460000191841,3.6726500000000124,36.97314500001592
SVRA,"Savara, Inc.",5.97,USD,2.226027397260272,974031,0.5578694372765658,1214703020,USD,,-0.5351,USD,-22.3924977127173,0,ヘルスケアテクノロジー,強い買い,16.24401049040894,0.011795018849155348,56.895548361733994,5.8412000000000015,5.549000000000001,4.015950000000001
XENE,Xenon Pharmaceuticals Inc.,44.92,USD,0.7739764441951741,709138,0.88125766911573,3471193270.0000005,USD,,-3.8844,USD,-38.29885712251219,0,ヘルスケアテクノロジー,強い買い,11.918643808597704,0.5724779695923061,62.917028480021955,42.540700000000015,42.33324999999999,37.98202500000003
VMD,"Viemed Healthcare, Inc.",8.6,USD,-0.1161440185830405,110092,0.6472672284954677,326954008,USD,26.01330913490623,0.3306,USD,28.688205527442577,0,ヘルスケアサービス,強い買い,39.45996767842231,0.24660754415817365,65.62043440148918,7.717199999999999,8.264499999999998,6.9885000000000055
SAVA,"Cassava Sciences, Inc.",2.35,USD,3.982300884955766,553480,0.7338664211429053,113523549.99999999,USD,,-2.1978,USD,-60.39994161436285,0,ヘルスケアテクノロジー,強い買い,20.407317374377236,0.029164886857235395,57.729029573819794,2.1771,2.1034999999999995,2.5069750000000344
INSW,"International Seaways, Inc.",72.51,USD,4.300920598388966,861013,1.7611384186852124,3581597566,USD,16.51031467735325,4.3918,USD,-57.576986978864795,4.04082195559233,交通・輸送,強い買い,51.015108308385,3.7269133254482796,82.22691170520976,56.81419999999999,63.63599999999998,47.41429999999998
NRSN,Neurosense Therapeutics Ltd.,0.9018,USD,2.488919195363113,86536,0.4077843572080889,26782844,USD,,,,,0,ヘルスケアテクノロジー,強い買い,17.901805420745866,-0.017387666104333177,47.636895196268505,0.9094425200000006,0.9317850000000003,1.2930306800000004
FHTX,"Foghorn Therapeutics, Inc.",5.76,USD,-0.6896551724137937,123513,1.0700065839628525,337430029.99999994,USD,,-1.1867,USD,37.89187208876328,0,ヘルスケアテクノロジー,強い買い,11.941581326715479,0.046500251105412005,53.363039736707314,5.555600000000004,5.6225000000000005,4.981999999999994
ERIE,Erie Indemnity Company Class A,268.7,USD,-0.41509154250982305,241761,1.0048814023723682,12513458407.000002,USD,25.310136299840806,10.6163,USD,-6.823886675209323,2.06829177521399,金融,強い買い,17.232795060090552,-4.134153725375597,44.000661778559,280.8477999999997,277.3235,319.7184750000003
KTTA,Pasithea Therapeutics Corp.,0.8377,USD,-1.6322217003287958,74477,0.3611382519874799,19343383,USD,,-5.0824,USD,66.40601762190246,0,ヘルスケアテクノロジー,強い買い,20.906332378590147,-0.020715042582028054,51.62139036921501,0.9304859999999999,0.7866000000000012,0.8240815050000024
TEN,Tsakos Energy Navigation Limited,34.43,USD,3.9867109634551507,1037121,2.638565113690571,1060642832,USD,10.844777623787326,3.1748,USD,-42.05088891322601,4.35666569851873,交通・輸送,強い買い,51.172438262578446,2.0062690244145394,85.85597603739151,25.93980000000001,28.90500000000002,22.520749999999985
IBIO,"iBio, Inc.",3.07,USD,6.968641114982568,1579838,1.414673585667135,106048739,USD,,-1.0059,USD,62.69193679994066,0,ヘルスケアテクノロジー,強い買い,28.831035209308105,0.15134341208054414,72.59445832041573,2.2194000000000016,2.3544999999999994,1.2642910000000016
PRDO,Perdoceo Education Corporation,33.32,USD,-0.11990407673860656,551271,0.8288439642085356,2081779292.0000002,USD,13.783973855127622,2.4173,USD,9.98725998725999,1.68067226890756,消費者サービス,強い買い,14.873924152225198,0.4214125391018797,61.726690690107276,31.193500000000014,31.829999999999995,31.868124999999974
CMTL,Comtech Telecommunications Corp.,5.19,USD,0.5813953488372141,395070,1.5174292926421944,153848338,USD,,-2.3149,USD,76.60748390747683,0,電子テクノロジー,強い買い,19.025614737975648,0.003969095837840442,43.60878088896609,5.274799999999999,5.603000000000001,3.2120249999999997
MBC,MasterBrand Inc,10.63,USD,0.47258979206049817,3700889,1.1372706921868727,1355722245,USD,53.36345381526105,0.1992,USD,-79.31893687707642,0,耐久消費財,強い買い,29.07817453612882,-0.38914764969466553,35.39624491127664,11.939599999999995,12.101000000000008,11.793200000000006
GHRS,GH Research Plc,15.63,USD,-0.761904761904757,144154,0.8887373621231448,969519467,USD,,-0.7313,USD,8.162752731382653,0,ヘルスケアテクノロジー,強い買い,13.103197035008732,0.07136805207804109,51.54392819663653,14.986200000000002,15.456999999999997,13.858575000000004
DLPN,Dolphin Entertainment Inc,1.68,USD,-5.084745762711869,12779,0.22871061905247692,20365669.000000004,USD,,-0.5447,USD,81.61039837947332,0,商業サービス,強い買い,21.985511129102914,0.021421214771871977,55.63020614844156,1.576400000000001,1.5875,1.3851850000000019
LPTH,"LightPath Technologies, Inc. Class A",11.14,USD,-5.352591333899737,2657516,0.8012069374967986,642873856,USD,,-0.5181,USD,-119.81332201951633,0,電子テクノロジー,強い買い,15.294732970771404,0.18634333918661206,49.025741005400505,10.968000000000002,11.1525,6.721850000000002
COYA,"Coya Therapeutics, Inc.",4.98,USD,-1.3861386138613743,69714,0.6541394867021476,104203789,USD,,-1.1024,USD,-53.196220122290164,0,ヘルスケアテクノロジー,強い買い,13.54783667454011,-0.010402868484666428,53.658989025644225,4.9754000000000085,4.784000000000004,5.771910999999996
BLIN,"Bridgeline Digital, Inc.",0.8634,USD,0.09274287039182841,36079,0.32248405411589726,10878736,USD,,-0.204,USD,-7.708553326293545,0,テクノロジーサービス,強い買い,26.165082370477847,0.006952646629792447,55.49004033734871,0.8434220000000004,0.7979225000000002,1.2410040000000016
AMBR,Amber International Holding Limited Sponsored ADR,2.58,USD,-7.526881720430106,108786,0.9205897610135915,241701940,USD,,,,,0,金融,強い買い,22.630769788670676,0.08395732324687799,55.603737611873804,2.2288000000000023,2.3035000000000005,4.784050000000002
ACCO,ACCO Brands Corporation,4.12,USD,-0.4830917874396033,916329,1.7287823818067591,371360851.00000006,USD,9.585853885528152,0.4298,USD,,7.28155339805825,生産財製造,強い買い,21.9568912024687,0.056520336697817974,54.40252147359473,3.939599999999999,4.075500000000001,3.8125000000000018
JRSH,"Jerash Holdings (US), Inc.",3.26,USD,0,16321,0.24538244690847585,41401807,USD,23.900293255131963,0.1364,USD,,6.13496932515338,非耐久消費財,強い買い,21.883042129628187,0.04899533056411087,53.976080849120926,3.1195999999999993,3.229999999999999,3.2481775000000095
LAES,SEALSQ Corp.,4.13,USD,2.2277227722772244,4549164,1.1451318898193767,763637025.0000001,USD,,-0.4809,USD,16.42335766423358,0,電子テクノロジー,強い買い,19.39485830263117,-0.09005123829165873,51.39244222041886,4.169399999999997,3.970499999999999,4.0666749999999965
MTVA,MetaVia Inc.,1.59,USD,-1.2422360248447215,100490,0.26836743986435546,5271111,USD,,-14.9184,USD,71.5702454139717,0,ヘルスケアテクノロジー,強い買い,31.15707228629531,-0.8191282474123878,24.62290017252981,4.797300000000006,1.7680000000000018,7.634119444999977
BGC,"BGC Group, Inc. Class A",9.62,USD,1.6913319238900462,1910202,0.7679905477195746,4509353622,USD,31.264218394540137,0.3077,USD,22.006344171292625,0.831600831600832,金融,強い買い,23.539376781846723,0.14130729445186851,57.168137335663054,9.084599999999996,9.270999999999994,9.440250000000006
SPWH,"Sportsman's Warehouse Holdings, Inc.",1.2,USD,2.5641025641025665,410837,0.9722148600117753,46177315,USD,,-0.9709,USD,-10.29194592752471,0,小売業,強い買い,18.49504462130683,-0.07504091274705438,38.4018882926866,1.3647999999999991,1.280499999999999,2.4451249999999964
BCO,Brink's Company,135.58,USD,4.630344188918042,548623,2.0961154335789267,5632740232,USD,34.31710033410955,3.9508,USD,49.3460346261435,0.743103702611005,商業サービス,強い買い,26.51430017533815,1.8849228227791457,67.82382838960407,124.79539999999999,129.49150000000003,108.72444999999988
EQX,Equinox Gold Corp.,18.4,USD,1.6013252346769695,6954897,0.6623160949279959,14504387397.155342,USD,76.82512488884365,0.23950498,USD,-52.94086926054607,0,非エネルギー鉱物,強い買い,18.178565337882656,0.8306205290747464,63.524993006136164,15.224400000000001,15.954499999999996,10.624699999999995
JAKK,"JAKKS Pacific, Inc.",22.17,USD,-0.9383378016085671,187985,0.7896595077760364,249845465.99999997,USD,26.14078528475416,0.8481,USD,-71.94787153110839,4.510599909788,耐久消費財,強い買い,29.276488558160548,1.0459115020445289,71.73514220616482,18.369200000000006,19.15700000000001,18.58535000000001
LZM,Lifezone Metals Limited,4.51,USD,7.380952380952372,182141,0.8253853310246477,377867220,USD,,,,,0,非エネルギー鉱物,強い買い,21.08770813361763,-0.22952940903704278,44.387526361408185,4.829799999999997,4.714000000000001,4.551200000000006
FBRX,Forte Biosciences Inc.,29.26,USD,2.8832630098452894,282253,1.602408270552903,366538110.00000006,USD,,-4.4441,USD,77.07785308286655,0,ヘルスケアテクノロジー,強い買い,13.576501309622055,-0.056698159913718627,49.41229947129758,28.955700000000007,30.022,16.695125000000004
DFLI,Dragonfly Energy Holdings Corp,2.67,USD,5.952380952380949,332717,0.9894264355763747,32250163,USD,,-30.9078,USD,24.63074728409963,0,生産財製造,強い買い,19.996502032403132,-0.37341287181195204,43.14641333478646,3.4795599999999967,2.6444999999999963,5.0501590000000025
CVKD,"Cadrenal Therapeutics, Inc.",8.38,USD,-2.896871378910776,64587,1.000261731048891,19593504,USD,,-8.0144,USD,-9.795325643203547,0,ヘルスケアテクノロジー,強い買い,24.769557493581804,0.08602023356099497,62.94384766264859,7.191500000000001,6.381500000000001,11.257403500000002
CRMD,CorMedix Inc.,7.35,USD,0.5471956224350211,1004355,0.6916967329019149,579099490,USD,3.5799522673031023,2.0531,USD,,0,ヘルスケアテクノロジー,強い買い,26.5914811333452,-0.3779918922919814,42.39716784234339,8.857200000000013,7.479000000000004,11.157799999999991
