シンボル,詳細,価格,価格 - 通貨,価格変動 % 1日,出来高 1日,相対ボリューム 1日,時価総額,時価総額 - 通貨,PER (株価収益率),"希薄化EPS, 直近12ヶ月","希薄化EPS, 直近12ヶ月 - 通貨","希薄化EPS成長率 %, 直近12ヶ月前年比","配当利回り %, 直近12ヶ月",セクター,アナリストの評価,ADX (平均方向性指数) (14) 1日,"MACD (移動平均収束拡散) (12,26) 1日, Level",RSI (相対力指数) (14) 1日,SMA (単純移動平均) (50) 1日,SMA (単純移動平均) (20) 1日,SMA (単純移動平均) (200) 1日
FWDI,Forward Industries Inc.,4.24,USD,-6.401766004415012,590276,0.7668205609800426,352509502,USD,,-9.9042,USD,-362.74821286735505,0,耐久消費財,強い買い,36.523279503422515,-0.6898712803411415,32.359898208005134,6.367900000000012,4.891500000000014,11.701392000000004
USEA,United Maritime Corp.,2.08,USD,-2.803738317757012,69384,0.6135637705202168,19076307,USD,,-0.4962,USD,-83.43807763401107,6.73076923076923,交通・輸送,強い買い,18.523379582361123,0.06877804463426473,64.31040646103092,1.8370000000000002,1.8594999999999953,1.644724499999999
CBLL,"Ceribell, Inc.",18.67,USD,-3.713254254770494,384251,1.1900799775023594,702761796.0000001,USD,,-1.4613,USD,,0,ヘルスケアテクノロジー,強い買い,20.142545657847787,-0.46980657875878507,35.92195267380568,21.135599999999997,19.998499999999993,16.30905000000001
SEER,"Seer, Inc. Class A",1.72,USD,-17.307692307692314,831259,1.8994600678976787,103678322,USD,,-1.2795,USD,7.982740021574972,0,ヘルスケアテクノロジー,強い買い,24.148605170970285,0.02972359317096429,36.59954870553815,1.8876,1.917999999999998,2.0471
REED,"Reed's, Inc.",2.37,USD,0,3903,0.18433157959364876,27125724,USD,,-3.2255,USD,86.74951217007292,0,非耐久消費財,強い買い,16.11778156704792,-0.15063693755952867,48.45394893130772,2.3312219999999924,2.171449999999989,26.05520610000212
KZIA,Kazia Therapeutics Ltd Sponsored ADR,8.45,USD,-4.51977401129944,159389,0.6392877025286096,95789121,USD,,-12.311,USD,63.04822850007804,0,ヘルスケアテクノロジー,強い買い,21.462731206403124,0.22546623169831648,64.92630632680802,6.885599999999999,6.1485,7.566326499999997
HURA,"TuHURA Biosciences, Inc.",1.67,USD,3.0864197530864086,1393428,0.9253187667064859,101403247,USD,,-0.6493,USD,99.20701122739224,0,ヘルスケアテクノロジー,強い買い,52.38082927069742,0.20418806337483564,73.50061693586603,0.8713020000000015,1.0649349999999997,2.1118675000000016
CANG,Cango Inc. Class A,0.7602,USD,-9.672053231939167,922343,1.4533900795584849,270897561,USD,,-2.8768,USD,-1335.2082438814941,0,流通サービス,強い買い,32.928719729530876,-0.12519011615105002,30.33222804280925,1.2230459999999999,0.9286150000000004,
ATNM,"Actinium Pharmaceuticals, Inc.",1.18,USD,2.6086956521739157,107678,0.8492016110524443,36811149,USD,,-1.1091,USD,20.653884675919297,0,ヘルスケアテクノロジー,強い買い,23.97194741118429,-0.044715932760850174,50.824803649971,1.2979999999999998,1.1279999999999963,1.4952000000000043
TATT,TAT Technologies Ltd.,55.37,USD,-0.5567528735632225,72762,0.8367603223669684,717076748.9999999,USD,41.565948502364684,1.3321,USD,76.69452181987,0,電子テクノロジー,強い買い,25.48344998779932,1.6051325608182552,62.27460442865022,49.651200000000024,51.55475000000003,39.28712500000002
OABI,"OmniAb, Inc.",1.72,USD,-4.444444444444448,242321,0.933468673919073,247603315.99999997,USD,,-0.5906,USD,5.1549702906696675,0,商業サービス,強い買い,9.887017504448016,-0.02933636685177432,43.77478435451921,1.8544000000000005,1.7325000000000004,1.7485500000000018
