シンボル,詳細,価格,価格 - 通貨,価格変動 % 1日,出来高 1日,相対ボリューム 1日,時価総額,時価総額 - 通貨,PER (株価収益率),"希薄化EPS, 直近12ヶ月","希薄化EPS, 直近12ヶ月 - 通貨","希薄化EPS成長率 %, 直近12ヶ月前年比","配当利回り %, 直近12ヶ月",セクター,アナリストの評価,ADX (平均方向性指数) (14) 1日,"MACD (移動平均収束拡散) (12,26) 1日, Level",RSI (相対力指数) (14) 1日,SMA (単純移動平均) (50) 1日,SMA (単純移動平均) (20) 1日,SMA (単純移動平均) (200) 1日
FENC,Fennec Pharmaceuticals Inc.,8,USD,-2.6763990267639977,101134,0.755644319517387,273119776.4383562,USD,,-0.23859139999999998,USD,-125.12919210902228,0,ヘルスケアテクノロジー,強い買い,26.500026856436776,0.16899108867698587,44.25582858571272,7.9205999999999985,8.334999999999999,8.269349999999996
INDP,"Indaptus Therapeutics, Inc.",1.88,USD,-10.476190476190485,72591,1.1286774023518582,4215569.000000001,USD,,-31.5109,USD,34.57120550823703,0,ヘルスケアテクノロジー,強い買い,17.019938066075817,-0.08322353873729749,42.860296564369555,2.3250399999999996,1.86995,5.2791796000000035
OWLT,"Owlet, Inc. Class A",11.84,USD,-2.871205906480719,178688,1.0109503401649198,326554407,USD,,-2.6724,USD,-11.890805560207681,0,耐久消費財,強い買い,20.720876331172946,-0.3124409275903215,49.08934116230035,13.178999999999998,11.367999999999999,9.738525000000001
GCTS,"GCT Semiconductor Holding, Inc. Class A",1.08,USD,-9.999999999999991,1469597,0.6542786801013706,78266459,USD,,-0.7615,USD,-185.8483483483483,0,電子テクノロジー,強い買い,34.30860636294932,-0.008298361628063633,40.79714168133266,1.1819180000000002,1.2244999999999997,1.3331795000000037
COHU,"Cohu, Inc.",29.55,USD,-5.136436597110748,528080,0.6474144797568345,1385549960,USD,,-1.59,USD,-6.775904909005439,0,電子テクノロジー,強い買い,18.50990144664963,0.5151803962641743,47.95499995949302,28.300800000000027,30.792999999999996,22.63390000000003
SBFG,SB Financial Group Inc,20.56,USD,-0.7242877836793923,14608,1.1500641636290656,129497706.99999999,USD,9.385984934946357,2.1905,USD,27.71105410447761,2.96692607003891,金融,強い買い,16.915651713710552,-0.2991119688192754,38.592786264661044,21.73369999999999,21.329000000000008,20.440875000000023
ALUR,"Allurion Technologies, Inc.",0.6841,USD,-2.424761089716147,1096582,0.06993794229132157,8400187,USD,,-7.3342,USD,34.45286526293211,0,ヘルスケアテクノロジー,強い買い,24.76276353228509,-0.11543989573968849,34.932862611215384,1.3690039999999981,1.1377600000000005,2.0285215000000054
WEST,Westrock Coffee Company,4.12,USD,-4.186046511627901,468425,2.1435605550994707,398918598.99999994,USD,,-0.9739,USD,-13.959747250175516,0,非耐久消費財,強い買い,23.306018714716544,-0.059090057523790485,29.783673534805686,4.548799999999998,4.860999999999998,5.318550000000004
GRI,"GRI Bio, Inc.",2.28,USD,-10.236220472440955,46925,0.7671030885196896,3294666,USD,,-240.2565,USD,95.78061861640454,0,ヘルスケアテクノロジー,強い買い,45.036928560269196,-1.3101116636597299,25.68409471286975,5.07952799999988,2.431999999999957,35.33297399994735
CRD.A,Crawford & Company Class A,10.42,USD,-4.7531992687385705,52044,1.2547767782875687,500908672.00000006,USD,15.966901624272143,0.6526,USD,61.69474727452921,2.83109404990403,金融,強い買い,12.53874774830087,-0.058102515069929694,42.075907335556025,10.940599999999982,10.7485,10.759649999999986
WULF,TeraWulf Inc.,14.74,USD,-7.990012484394502,33729552,1.1043263711031621,6250763921,USD,,-1.661,USD,-719.0335305719921,0,テクノロジーサービス,強い買い,18.064906373348652,0.5616747534508661,46.46453798287354,14.171600000000002,15.721499999999995,10.359425000000002
WLFC,Willis Lease Finance Corporation,191.75,USD,-2.218255991840895,39240,1.3223920332957015,1306613966,USD,11.47502722887817,16.7102,USD,18.46500680580762,0.677966101694915,金融,強い買い,40.61912903009976,6.224362177611795,49.908478107961066,175.11460000000005,198.84600000000003,147.24657500000015
NG,Novagold Resources Inc,12.72,USD,-10.422535211267597,4168793,1.0429031743281079,5571545044.877375,USD,,-0.2597595,USD,-95.83849927227641,0,非エネルギー鉱物,強い買い,29.58514420745567,0.8210062451602962,59.046294518142524,10.393999999999997,10.958000000000009,7.699150000000004
AURX,Nuo Therapeutics Inc,1.4,USD,-6.666666666666672,5200,0.9409891243372359,67308846.69090909,USD,,-0.0518,USD,7.664884135472367,0,ヘルスケアテクノロジー,強い買い,50.41196138618291,-0.13469789353340267,35.48067959534497,1.9613619999999992,1.6160550000000005,1.7502459999999984
ENVA,Enova International Inc,141.43,USD,-0.11300233067306772,229199,0.7502876606275667,3537209198,USD,12.21372068119797,11.5796,USD,55.64187690694767,0,金融,強い買い,21.126548539517838,-4.329625337541813,41.35711260965657,156.31899999999987,148.95699999999997,125.02224999999999
HIND,"Vyome Holdings, Inc.",3.13,USD,-8.21114369501467,98302,0.7828424806443546,17667267,USD,,-177.3844,USD,89.18121293294202,0,ヘルスケアテクノロジー,強い買い,24.39839952724015,0.0930767594003199,53.28641556392554,3.0240399999999603,2.8090000000000055,7.577159999999963
IMRX,Immuneering Corp. Class A,4.95,USD,-0.9999999999999963,1028701,1.620623026310089,319621334.99999994,USD,,-1.7832,USD,9.321128909229596,0,ヘルスケアテクノロジー,強い買い,7.505191119635983,-0.058414920295326134,46.556999221856856,5.330800000000003,4.982000000000001,5.089449999999999
CRML,Critical Metals Corp.,9.8,USD,-9.426987060998147,7736367,0.950729748165038,1155464225,USD,,-0.5583,USD,70.16034206306789,0,非エネルギー鉱物,強い買い,14.90007566692923,-0.7333693623040087,43.039897721037704,11.972900000000005,10.658249999999994,8.080675000000006
HQI,"HireQuest, Inc.",11.58,USD,-2.7707808564231744,15927,1.0202094609742818,163278003,USD,23.304487824511973,0.4969,USD,372.7878211227403,2.07253886010363,商業サービス,強い買い,27.591000962150265,0.3016521040084914,54.74648877354262,10.883099999999997,11.293250000000004,9.792674999999956
