シンボル,詳細,価格,価格 - 通貨,価格変動 % 1日,出来高 1日,相対ボリューム 1日,時価総額,時価総額 - 通貨,PER (株価収益率),"希薄化EPS, 直近12ヶ月","希薄化EPS, 直近12ヶ月 - 通貨","希薄化EPS成長率 %, 直近12ヶ月前年比","配当利回り %, 直近12ヶ月",セクター,アナリストの評価,ADX (平均方向性指数) (14) 1日,"MACD (移動平均収束拡散) (12,26) 1日, Level",RSI (相対力指数) (14) 1日,SMA (単純移動平均) (50) 1日,SMA (単純移動平均) (20) 1日,SMA (単純移動平均) (200) 1日
TOI,"Oncology Institute, Inc.",2.85,USD,5.555555555555552,1683867,1.3355217845249339,280386810,USD,,-0.643,USD,16.742198627476366,0,ヘルスケアサービス,強い買い,19.586135935944277,-0.06332403782442508,50.21575132274683,3.1451999999999973,2.665249999999999,3.3346250000000004
DORM,"Dorman Products, Inc.",116.16,USD,-0.051626226122872376,287089,0.88585460319537,3506087588,USD,17.497928748964377,6.6385,USD,8.030919446704639,0,耐久消費財,強い買い,24.708684215839718,-2.935123779295253,33.97925392701046,125.53550000000001,125.53750000000002,134.39012499999993
PARK,"Park Dental Partners, Inc.",18.92,USD,-0.9424083769633492,14165,0.3277918423451985,77413757,USD,,,,,0,ヘルスケアサービス,強い買い,32.18420684332749,0.6820333139688408,55.437270013898726,16.8382,18.512000000000008,
TNYA,"Tenaya Therapeutics, Inc.",0.5814,USD,5.709090909090905,2587897,0.7872364424914579,125876519,USD,,-0.7875,USD,46.682464454976305,0,ヘルスケアテクノロジー,強い買い,30.454323899168408,-0.05783341884047799,38.82789642675331,0.7129099999999976,0.6621100000000004,0.9895149999999964
ELDN,"Eledon Pharmaceuticals, Inc.",2.51,USD,0.39999999999999153,611786,0.6320803295571575,188462581.00000003,USD,,-1.2021,USD,78.95004115082214,0,ヘルスケアテクノロジー,強い買い,25.57447141974583,0.1379839760396493,62.53079510868707,2.040000000000006,2.255,2.5838500000000018
SNEX,StoneX Group Inc.,123.38,USD,-1.595150741745095,385997,1.1586014671130211,6472924015,USD,18.395980259136113,6.7069,USD,20.316087830080374,0,金融,強い買い,51.65181025602349,4.186342481761102,52.577138636431435,112.62570000000001,125.398,97.92610000000018
INLX,"Intellinetics, Inc.",7.5,USD,-1.5748031496063006,934,0.7331240188383046,33593423.00000001,USD,,-0.4012,USD,-257.89473684210526,0,テクノロジーサービス,強い買い,24.4935309616595,-0.1557331825120336,35.32521539075192,8.030071999999997,7.927574999999999,10.786942499999999
PTHS,Pelthos Therapeutics Inc.,23.01,USD,-4.878048780487804,6802,0.9174658411901969,74449844.99999999,USD,,,,,0,ヘルスケアテクノロジー,強い買い,17.625614996792436,-0.11343011766690125,48.38767399333579,24.570620000000012,22.66930000000001,38.704828999999876
PGY,Pagaya Technologies Ltd Class A,11.68,USD,3.5460992907801447,2393589,0.6358080189901769,963908827.9999999,USD,13.742793269796447,0.8499,USD,,0,テクノロジーサービス,強い買い,40.74594237281402,-2.1809332466422546,34.09763009604619,18.543300000000016,12.988999999999987,24.868374999999997
SNTI,"Senti Biosciences, Inc.",0.9524,USD,0.16827934371056436,106000,0.6807391285640064,25039394.999999996,USD,,-3.3373,USD,78.60348519625066,0,ヘルスケアテクノロジー,強い買い,23.020251895810652,-0.02690664001473686,48.99689762889189,1.0100480000000005,0.899120000000004,1.7370619999999946
CGEN,Compugen Ltd.,2.14,USD,7.000000000000006,266633,0.64806658947219,202343825.00000003,USD,5.794746818304901,0.3693,USD,,0,ヘルスケアテクノロジー,強い買い,22.070852786288235,0.058983648272276534,62.368088348307325,1.7990000000000015,1.7819999999999996,1.636374999999999
AVBH,"Avidbank Holdings, Inc.",29,USD,0.6594932315168389,81291,1.0513838286248627,317573254,USD,,-2.0039,USD,-172.55775219060033,0,金融,強い買い,23.329752979477476,0.18441397995577802,48.1029647827317,28.256199999999964,29.81249999999999,24.89578499999995
HOVR,New Horizon Aircraft Ltd. Class A,2,USD,6.951871657754005,820912,1.5557959516920006,88505501,USD,,-0.624,USD,-1031.3432835820895,0,電子テクノロジー,強い買い,12.85631801670338,0.004334198474393869,53.07866916705746,1.9291999999999987,1.867499999999999,1.8560719999999993
SXTP,"60 Degrees Pharmaceuticals, Inc.",2.27,USD,-3.813559322033892,49115,1.3194302661695017,2400779.0000000005,USD,,-29.2919,USD,83.60853979413795,0,ヘルスケアテクノロジー,強い買い,19.330893289988065,-0.2559342561731035,34.51608178113882,3.1243680000000014,3.3674999999999997,5.573838000000011
ABX,"Abacus Global Management, Inc. Class A",9.94,USD,3.1120331950207354,447232,0.7009542294906017,971663322,USD,127.27272727272727,0.0781,USD,,2.01207243460765,金融,強い買い,32.752773687142344,0.40430828822323406,72.00677700196964,8.397699999999997,8.559,6.768474999999995
PLSE,"Pulse Biosciences, Inc.",18.1,USD,0.8356545961002904,211884,0.5042050401466993,1230602278.0000002,USD,,-1.08,USD,-19.627824545857333,0,ヘルスケアテクノロジー,強い買い,24.493335624658897,0.46429897150350996,46.19489102084274,16.916399999999975,20.813999999999997,16.164449999999988
FTK,"Flotek Industries, Inc.",17.35,USD,7.5635461872287815,441702,1.9439012958549804,521503244,USD,19.43106730876918,0.8929,USD,234.67016491754129,0,産業サービス,強い買い,15.971530462224306,-0.2638083714463342,54.465332083069555,17.233600000000006,16.761,14.981650000000007
IDAI,"T Stamp, Inc. Class A",2.74,USD,6.201550387596905,29672,0.26885237583518024,14373028,USD,,-46.8581,USD,-261.65708331725386,0,テクノロジーサービス,強い買い,30.482017748640445,-0.2580439796729057,43.50462633201335,3.4431000000000016,2.787249999999999,3.250932999999999
TE,T1 Energy Inc.,7.1,USD,9.062980030721965,12147660,0.7390421058758309,1921066960,USD,,-3.7839,USD,-394.36895740789134,0,生産財製造,強い買い,16.881432067839615,-0.19302307629651594,50.624820916155635,7.394399999999998,6.876000000000005,3.682750500000001
CNR,"Core Natural Resources, Inc.",93.77,USD,1.912835561352017,1027727,1.1701425983451292,4780351461,USD,,-3.0132,USD,-131.3496192101211,0.426575663858377,エネルギー鉱物,強い買い,13.542879998418064,-0.8498099195092408,55.94744501097371,91.82979999999989,89.28200000000004,81.15744999999987
