シンボル,詳細,価格,価格 - 通貨,価格変動 % 1日,出来高 1日,相対ボリューム 1日,時価総額,時価総額 - 通貨,PER (株価収益率),"希薄化EPS, 直近12ヶ月","希薄化EPS, 直近12ヶ月 - 通貨","希薄化EPS成長率 %, 直近12ヶ月前年比","配当利回り %, 直近12ヶ月",セクター,アナリストの評価,ADX (平均方向性指数) (14) 1日,"MACD (移動平均収束拡散) (12,26) 1日, Level",RSI (相対力指数) (14) 1日,SMA (単純移動平均) (50) 1日,SMA (単純移動平均) (20) 1日,SMA (単純移動平均) (200) 1日
ACCO,ACCO Brands Corporation,3.91,USD,-2.736318407960185,876336,1.318823608907435,352432281,USD,9.097254536993951,0.4298,USD,,7.46268656716418,生産財製造,強い買い,16.137006893605516,0.006008431919634738,42.00479183381305,3.968799999999999,4.088000000000001,3.816950000000002
BAER,"Bridger Aerospace Group Holdings, Inc.",2.205,USD,-5.76923076923076,1077090,1.845837307749915,122472545,USD,,-0.5566,USD,40.73679727427598,0,交通・輸送,強い買い,23.728182652759184,-0.07443604302665241,36.9998347555266,2.5133000000000014,2.563250000000002,1.975074999999999
CGEN,Compugen Ltd.,2.08,USD,1.4634146341463536,190678,0.45806679754426727,196670617,USD,5.6322772813430815,0.3693,USD,,0,ヘルスケアテクノロジー,強い買い,25.468248143246768,0.0736173470785515,59.04825706868011,1.820600000000001,1.8219999999999996,1.6431249999999988
CRVO,CervoMed Inc.,4.11,USD,2.493765586034926,45522,0.37870840484412654,38028676,USD,,-2.8954,USD,-76.95880699181028,0,商業サービス,強い買い,37.60693634555125,-0.517055416074296,36.031667600692906,5.926999999999998,4.577,7.59867500000002
LE,"Lands' End, Inc.",16.15,USD,-0.5541871921182258,360139,1.4978593038141574,493399757,USD,43.46071044133477,0.3716,USD,,0,小売業,強い買い,12.65179361408678,-0.21405158880937947,44.89501186619594,16.4024,17.3455,14.157574999999998
AVNW,"Aviat Networks, Inc.",24.95,USD,-2.9182879377431905,107396,0.8833033815988057,321912630,USD,22.06207445397471,1.1309,USD,,0,電子テクノロジー,強い買い,35.23667595620499,0.6449034978924288,52.63656209770035,23.284300000000016,25.283250000000038,22.78357499999999
CRS,Carpenter Technology Corporation,387.11,USD,-1.9974683544303762,645603,1.0321813330809382,19281839626.000004,USD,44.964688937415794,8.6092,USD,62.48372180805888,0.20253164556962,非エネルギー鉱物,強い買い,26.73863617850931,14.744877723564855,55.179366454403784,352.7633999999999,385.0485,291.2590000000001
KDK,"Kodiak AI, Inc.",8.92,USD,0.6772009029345428,435120,1.014325789918564,1616369999.0000002,USD,,-3.7394,USD,-969.0216128282593,0,生産財製造,強い買い,15.760414126595986,-0.13158220677968835,53.90238755951929,9.235600000000007,8.5455,9.686475000000007
PSHG,Performance Shipping Inc.,2.29,USD,1.3274336283185952,145375,0.5188662072923589,28469642.000000004,USD,1.3309310705567825,1.7206,USD,60.87891538101917,0,交通・輸送,強い買い,19.10378513642682,0.04959425306475973,56.12139043039366,2.1297580000000007,2.154395000000001,1.9782785000000005
AURA,Aura Biosciences Inc,5.6,USD,-1.75438596491229,188950,0.7776216178398211,355618300.99999994,USD,,-1.9282,USD,-11.411567573814065,0,ヘルスケアテクノロジー,強い買い,10.855397875811878,0.09558756110647071,47.59146068573565,5.544000000000007,5.6810000000000045,6.0814499999999985
KTTA,Pasithea Therapeutics Corp.,0.7965,USD,0.8227848101265759,82290,0.6021433933988869,18392032,USD,,-5.0824,USD,66.40601762190246,0,ヘルスケアテクノロジー,強い買い,19.08740243451431,-0.012372389857137844,46.29258058517302,0.8909280000000002,0.7813100000000012,0.821373505000002
ANGO,"AngioDynamics, Inc.",10.83,USD,-0.3679852805887686,408945,1.4732265406654406,446384311.00000006,USD,,-0.6732,USD,87.92682926829268,0,ヘルスケアテクノロジー,強い買い,20.448372736455607,0.01232242564045194,43.95940872161301,11.104399999999965,11.125000000000004,10.861499999999978
NVNI,Nvni Group Limited,1.28,USD,-4.4776119402985115,30810,0.26020992463117887,12841869.000000002,USD,,-3.6119,USD,-729.5590261828204,0,金融,強い買い,28.31350988599437,-0.22842279294935608,35.735942611021585,2.0832000000000015,1.4520000000000044,3.994329949999999
QUAD,"Quad/Graphics, Inc. Class A",6.86,USD,0,259232,0.8689111661413174,358529484,USD,12.703703703703704,0.54,USD,,4.73760932944606,商業サービス,強い買い,12.303875523092788,0.1707640911884445,54.76277772755529,6.408400000000015,6.764,6.041649999999996
CTM,"Castellum, Inc.",0.9,USD,-3.0694668820678483,934326,1.2637730590234444,85151470,USD,,,,,0,素材産業,強い買い,14.53901513466934,-0.0004131730895471364,44.68720403881955,0.9521540000000003,0.9087400000000002,1.0750990000000002
SAMG,Silvercrest Asset Management Group Inc. Class A,15.1,USD,-0.9186351706036784,35714,1.7688254056302872,184800515.99999997,USD,21.23470679229363,0.7111,USD,-9.483197556008149,5.38057742782152,金融,強い買い,12.16123700604638,0.057165056882952925,47.5260692511414,15.239799999999997,15.182500000000013,15.306424999999983
MATV,"Mativ Holdings, Inc.",9.38,USD,-5.060728744939271,302497,0.6711655543327771,513808664,USD,,-6.2529,USD,-594.2267125569003,4.04858299595142,素材産業,強い買い,34.50107916777764,-0.9078121033105475,24.590848505499252,12.505400000000003,12.308499999999993,10.583850000000009
FPF,First Trust Intermediate Duration Preferred & Income Fund,18.46,USD,-1.0187667560321594,83760,0.6461542022009049,1134811470,USD,9.36247907896739,1.9717,USD,-56.65450228631727,8.84718498659517,その他,強い買い,25.312929106747973,-0.046375268571818395,31.382727647728345,18.876200000000026,19.001499999999975,18.805139999999994
PTHS,Pelthos Therapeutics Inc.,23.12,USD,3.1682284694332923,2622,0.3343620087224873,74805757,USD,,,,,0,ヘルスケアテクノロジー,強い買い,17.274489411939424,-0.17602119765437507,49.003043375067136,24.51522000000001,22.612300000000012,37.95247899999988
FLC,Flaherty & Crumrine Total Return Fund Inc,17.39,USD,-1.0244735344336922,16573,1.0956123939788585,183725976,USD,11.259307219164779,1.5445,USD,-53.29603870577563,6.53272623790552,その他,強い買い,22.30645758438255,-0.04296880476721654,30.440351226334528,17.671000000000028,17.809000000000008,17.376235499999986
YSG,Yatsen Holding Ltd. Sponsored ADR Class A,3.75,USD,-0.5305039787798413,118529,0.805716810549927,351981758,USD,,-0.1211,USD,88.12977847480886,0,非耐久消費財,強い買い,14.179701448921605,-0.09865438023139994,38.32701995859104,4.177599999999998,4.1145000000000005,7.052975
REPX,Riley Exploration Permian Inc,33.01,USD,1.8827160493827144,1242730,4.068649726755201,711940781.9999999,USD,4.4032120371358445,7.4968,USD,76.20457857377897,4.81481481481482,エネルギー鉱物,強い買い,18.012108628026816,0.9835517577974855,76.53698144203581,27.66560000000004,28.684500000000007,27.150899999999982
UMAC,Unusual Machines Inc.,16.45,USD,7.798165137614675,7283089,2.6762749016288994,606602813.9999999,USD,,-3.5281,USD,-254.084704937776,0,電子テクノロジー,強い買い,23.394635906975488,0.3300056141420562,62.438819068467815,14.343399999999999,13.551499999999995,11.345299999999993
OCC,Optical Cable Corporation,6.05,USD,-5.172413793103449,78644,0.8751923845219904,53663928,USD,,-0.1897,USD,65.17348999449239,0,電子テクノロジー,強い買い,25.604723985098687,0.26359314216286744,53.22295804898163,5.1129999999999995,5.989499999999998,5.979359999999999
SQNS,Sequans Communications SA Sponsored ADR,3.14,USD,-1.5673981191222515,96628,0.9017288393092128,50227118,USD,,,,,0,電子テクノロジー,強い買い,40.52948190241562,-0.3291943084584581,42.19322522007988,4.176399999999996,3.115500000000001,10.435020000000025
PDYN,Palladyne AI Corp.,8.53,USD,-14.357429718875517,6504824,1.211905319854967,396601157,USD,37.3794916739702,0.2282,USD,,0,生産財製造,強い買い,31.290096104297255,0.4811989821430158,59.069622139721126,6.5498999999999965,7.19,7.475450000000002
DAKT,"Daktronics, Inc.",21.95,USD,-4.523705959112654,681346,0.9842743427851768,1060143572,USD,39.49262324577186,0.5558,USD,,0,生産財製造,強い買い,36.1662180916903,0.005683155432087972,35.39392875997822,23.166799999999995,26.0195,19.123925000000007
CMT,"Core Molding Technologies, Inc.",18.81,USD,-1.929092805005219,12882,0.5736806947227789,161039040,USD,20.24321997417133,0.9292,USD,-47.18654086620439,0,生産財製造,強い買い,12.586869597925485,-0.12041982761347114,44.51739524685423,19.492199999999997,19.40750000000002,18.612100000000012
STOK,"Stoke Therapeutics, Inc.",35.48,USD,2.3953823953823905,1833479,2.5335259028527126,2026516433.0000002,USD,53.765722079102886,0.6599,USD,,0,ヘルスケアテクノロジー,強い買い,24.771511004205323,1.0177651414569198,58.16531940397972,32.2628,33.88950000000001,23.728149999999996
DCTH,"Delcath Systems, Inc.",9.08,USD,0,386579,0.6113253782919628,315495395,USD,144.81658692185007,0.0627,USD,,0,ヘルスケアテクノロジー,強い買い,17.840142715788797,-0.23567808965831993,44.060821580230396,9.8792,9.412999999999997,11.092550000000001
AMBR,Amber International Holding Limited Sponsored ADR,2.67,USD,6.374501992031879,54235,0.6327496814959657,250133417,USD,,,,,0,金融,強い買い,20.476278892335994,0.08587932719399927,56.98935659543967,2.3488000000000024,2.4250000000000003,4.539900000000003
SLGL,Sol-Gel Technologies Ltd.,81.645,USD,3.3481012658227796,64017,2.675557747444267,227445579,USD,,-3.2257,USD,6.104092682074874,0,ヘルスケアテクノロジー,強い買い,24.08235455273798,6.441909460155998,53.95341430528314,66.17680000000001,80.15925,34.295221500000004
CING,"Cingulate, Inc.",6.43,USD,-1.9817073170731694,348598,1.0990867375475444,49760032.00000001,USD,,-5.2876,USD,93.83677166005965,0,ヘルスケアテクノロジー,強い買い,37.760649462363254,0.21532671585413254,53.46685425423184,5.666600000000001,6.454000000000001,4.4884
ORGN,"Origin Materials, Inc.",0.1572,USD,4.800000000000009,1016391,0.6849499515092383,24400022,USD,,-0.4699,USD,16.831858407079643,0,素材産業,強い買い,31.43159229456596,-0.012789165959712245,43.741334621793285,0.18624199999999988,0.15585499999999988,0.45847450000000217
MSLE,Satellos Bioscience Inc,12.05,USD,-2.270884022708835,43804,0.8555802961053166,186280104.26851854,USD,,-1.5785947999999999,USD,29.575392331513,0,ヘルスケアテクノロジー,強い買い,41.78423763970003,-11.120921303989501,29.786197906377893,52.53370639999996,11.623499999999973,64.43080003999998
MPTI,M-tron Industries Inc,63.12,USD,0.1904761904761864,60741,2.1283954251114285,184928855,USD,25.74330111342224,2.4519,USD,22.797616066509754,0,電子テクノロジー,強い買い,13.577205094689528,0.7213365415850959,48.005719146802925,61.799799999999976,64.42850000000003,51.38519999999992
SSSS,SuRo Capital Corp.,8.89,USD,-3.7878787878787836,281739,1.6965769658780512,223308728,USD,3.6579846109533807,2.4303,USD,,5.41125541125541,その他,強い買い,11.195480415386298,-0.051906540288847225,41.3311270055593,9.424199999999995,9.378500000000006,8.861824999999998
KMDA,Kamada Ltd,8.86,USD,-1.8826135105204866,28845,0.41556274932684456,511058908.98894036,USD,23.263672969095005,0.38085129599999995,USD,38.85617826586085,0,ヘルスケアテクノロジー,強い買い,22.138982421561803,0.23026875717033768,53.753319148396365,8.220000000000002,8.795000000000003,7.375775000000005
DSGN,"Design Therapeutics, Inc.",10.05,USD,-0.39643211100098263,165569,0.8653768256153506,572485764,USD,,-1.187,USD,-40.2575918704951,0,ヘルスケアテクノロジー,強い買い,7.878346561069413,0.06478101168120709,47.83636829396929,9.965600000000002,10.283999999999995,6.849849999999999
HCKT,"Hackett Group, Inc.",14.21,USD,-0.8374040474528905,241131,0.6346031923990049,360655914.00000006,USD,30.40873100791783,0.4673,USD,-55.84427855995464,3.34961618981158,商業サービス,強い買い,40.98233018094725,-0.9413630074102048,40.08263471089343,17.336799999999997,14.212999999999976,20.253824999999985
ZURA,Zura Bio Limited Class A,6.97,USD,3.1065088757396446,343692,0.4804245167301912,600976416.0000001,USD,,-0.7077,USD,-19.685438863521046,0,ヘルスケアテクノロジー,強い買い,24.288656540489715,0.2988919408364179,60.699958897316975,5.869200000000002,6.482500000000002,3.318287000000004
LINC,Lincoln Educational Services Corporation,35.84,USD,-0.2782415136338184,436330,0.5344745452409618,1142542191.9999998,USD,56.149146169512775,0.6383,USD,101.03937007874015,0,商業サービス,強い買い,47.29662194035103,2.6504167350739003,71.2303487021806,28.148100000000014,31.961749999999995,23.298675000000003
FFAI,"Faraday Future Intelligent Electric, Inc.",0.4449,USD,-3.2826086956521743,8752635,0.4149438643300271,91375112.99999999,USD,,-4.7811,USD,96.08638103821285,0,耐久消費財,強い買い,32.63937398554433,-0.12411962105613261,28.60609264760234,0.8636659999999999,0.5476300000000001,1.4465165000000002
NNBR,"NN, Inc.",1.36,USD,-6.206896551724128,280853,1.2128887432084785,68258570,USD,,-1.0713,USD,3.51256417184546,0,生産財製造,強い買い,20.93558032631861,-0.02486638809496644,33.219390311771065,1.4898000000000007,1.590999999999997,1.8282749999999988
PNI,Pimco New York Municipal Income Fund II,7.01,USD,-0.14245014245013943,71270,1.245358518919769,167675508,USD,,-0.5938,USD,-642.283105022831,5.04273504273504,その他,強い買い,21.944120719007945,0.014730570398355347,40.3877318301398,7.021940000000002,7.103999999999997,6.8438415000000115
REAX,Real Brokerage Inc.,2.53,USD,-2.692307692307703,2125978,1.1171414251572132,533576979.00000006,USD,,-0.0388,USD,72.22619899785255,0,商業サービス,強い買い,38.09655884184103,-0.2006746387608067,34.25451881113379,3.3091999999999997,2.742499999999997,3.9844499999999954
CVKD,"Cadrenal Therapeutics, Inc.",8.28,USD,3.5647279549718482,16091,0.19385345637664747,19359690,USD,,-8.0144,USD,-9.795325643203547,0,ヘルスケアテクノロジー,強い買い,23.186149709456615,0.3839150064067427,59.156505690174164,7.1773,6.933249999999998,11.064828000000002
SMSI,"Smith Micro Software, Inc.",0.6519,USD,-4.132352941176473,485572,0.4335811924920409,16794912,USD,,-1.5029,USD,68.15754904868851,0,テクノロジーサービス,強い買い,27.88848885919306,0.016741003288559875,66.0282218371047,0.5430699999999986,0.5069149999999999,0.6988384999999986
RELY,"Remitly Global, Inc.",17.04,USD,-1.6166281755196372,2750097,0.6163539792829891,3589550972,USD,54.31941345234301,0.3137,USD,,0,商業サービス,強い買い,36.02900687447876,0.9766329242111453,65.21001549044885,14.351600000000008,15.419500000000014,16.449325000000034
