シンボル,詳細,価格,価格 - 通貨,価格変動 % 1日,出来高 1日,相対ボリューム 1日,時価総額,時価総額 - 通貨,PER (株価収益率),"希薄化EPS, 直近12ヶ月","希薄化EPS, 直近12ヶ月 - 通貨","希薄化EPS成長率 %, 直近12ヶ月前年比","配当利回り %, 直近12ヶ月",セクター,アナリストの評価,ADX (平均方向性指数) (14) 1日,"MACD (移動平均収束拡散) (12,26) 1日, Level",RSI (相対力指数) (14) 1日,SMA (単純移動平均) (50) 1日,SMA (単純移動平均) (20) 1日,SMA (単純移動平均) (200) 1日
EXOD,"Exodus Movement, Inc. Class A",10.83,USD,-0.6422018348623879,34856,0.6753690639271618,323593735,USD,2.8823122371852876,3.7574,USD,,0,テクノロジーサービス,強い買い,18.241374588539053,-0.510118212651486,46.05009203338367,13.102199999999991,10.517500000000005,22.997300000000006
VERU,Veru Inc,2.46,USD,-0.40485829959515096,64406,1.203827965832415,39483787,USD,,-1.2136,USD,48.15669187064804,0,ヘルスケアテクノロジー,強い買い,18.954746130503615,0.016687145863905517,47.82259160282442,2.4523999999999977,2.4675000000000002,3.695959999999999
EVMN,"Evommune, Inc.",24.61,USD,-7.132075471698116,223341,0.6183660027028127,886412146.9999999,USD,,-2.2276,USD,,0,ヘルスケアテクノロジー,強い買い,20.8967677495603,0.8472349371566992,49.486285246947624,21.921000000000003,27.025499999999987,
BW,Babcock & Wilcox Enterprises Inc,13.49,USD,2.9770992366412257,5254521,1.0083684943148643,1498740395,USD,,-0.696,USD,51.21951219512195,0,電子テクノロジー,強い買い,21.85706602746193,0.9250579274977664,72.3423940064957,8.894,9.9505,4.353024999999999
RDEXF,RPX Gold Inc.,0.1766,USD,-0.8867437422830834,176250,1.5012827982378134,65616168.556666665,USD,,-0.02225808,USD,47.50247297417776,0,非エネルギー鉱物,強い買い,25.5134599533494,0.009463656094961054,57.86043058370563,0.14944980000000005,0.162241,0.10557877499999993
APRE,"Aprea Therapeutics, Inc.",0.8448,USD,-6.154187958231504,102667,0.8100599652832571,9673905,USD,,-2.1411,USD,23.866586068342645,0,ヘルスケアテクノロジー,強い買い,37.708947668849326,0.03197057624335975,52.374643771812096,0.8146739999999995,0.7808349999999981,1.3369690000000025
INAB,"IN8bio, Inc.",1.77,USD,2.9069767441860495,46529,2.09168925631724,17286052,USD,,-6.6301,USD,70.57095045962778,0,ヘルスケアテクノロジー,強い買い,17.10844204101609,-0.0689804475608129,47.812166656506506,2.023800000000001,1.729500000000001,2.1825199999999985
DERM,Journey Medical Corp.,8.02,USD,3.2175032175032174,97309,0.8894960506554513,266717851.00000003,USD,,-0.3672,USD,60.255438900313884,0,ヘルスケアテクノロジー,強い買い,13.70412680095045,-0.07286284474007587,46.67661694591115,8.132099999999996,8.174249999999997,7.629675000000003
VUZI,Vuzix Corporation,2.59,USD,1.5686274509803935,937045,0.8690512150783624,207527595.99999997,USD,,-0.49,USD,59.684054632219855,0,電子テクノロジー,強い買い,17.589681452089128,-0.04905230575310027,44.09638726112419,2.9520000000000035,2.7140000000000013,2.802699999999999
CXW,"CoreCivic, Inc.",17.92,USD,-0.7751937984495959,943429,0.8689017342318155,1750949382,USD,16.529840420625405,1.0841,USD,74.79845211222188,0,商業サービス,強い買い,35.424753697903895,-0.18336569484790033,46.724624822196674,18.776000000000014,17.993999999999993,19.596200000000028
MGTX,MeiraGTx Holdings Plc,7.37,USD,5.285714285714287,462353,1.2659186838364302,593217854,USD,,-2.1139,USD,-61.92263500574492,0,ヘルスケアテクノロジー,強い買い,12.633713041980906,-0.11522681740554663,46.66520037870071,7.6138,7.479000000000001,7.7041
DFIN,"Donnelley Financial Solutions, Inc.",47.22,USD,-4.798387096774199,384332,1.5151826957913914,1209775570,USD,44.21762337297499,1.0679,USD,-65.14117839072956,0,テクノロジーサービス,強い買い,18.078711215253374,0.525441640361656,45.19680260089628,49.368400000000065,47.46699999999997,52.66219999999998
