シンボル,詳細,価格,価格 - 通貨,価格変動 % 1日,出来高 1日,相対ボリューム 1日,時価総額,時価総額 - 通貨,PER (株価収益率),"希薄化EPS, 直近12ヶ月","希薄化EPS, 直近12ヶ月 - 通貨","希薄化EPS成長率 %, 直近12ヶ月前年比","配当利回り %, 直近12ヶ月",セクター,アナリストの評価,ADX (平均方向性指数) (14) 1日,"MACD (移動平均収束拡散) (12,26) 1日, Level",RSI (相対力指数) (14) 1日,SMA (単純移動平均) (50) 1日,SMA (単純移動平均) (20) 1日,SMA (単純移動平均) (200) 1日
PLX,"Protalix Biotherapeutics, Inc.",2.89,USD,-0.3448275862068892,389378,0.34015784075799904,232417221,USD,41.58273381294964,0.0695,USD,,0,ヘルスケアテクノロジー,強い買い,27.2875728946296,0.08371869198272819,54.80341159091028,2.4794,2.9370000000000003,1.957949999999998
AIRJ,AirJoule Technologies Corporation Class A,3.4,USD,-1.7341040462427761,373597,0.9937898277239796,227234101.00000003,USD,,-0.0199,USD,-100.39510781082477,0,生産財製造,強い買い,13.103885040246649,0.021431834886959322,51.97586954512834,3.4909,3.2770000000000024,4.229974999999996
FC,Franklin Covey Co.,11.77,USD,-0.4230118443316473,298739,2.0992690409834567,135973545,USD,,-0.1186,USD,-108.04285908042858,0,商業サービス,強い買い,47.56605923317672,-1.7086142422980046,14.632946881240983,17.341599999999847,14.339500000000005,18.634450000000044
LEXX,Lexaria Bioscience Corp.,0.712,USD,-2.1978021978021998,150155,0.9372292642979659,17719861,USD,,-0.5745,USD,-17.412630288166767,0,ヘルスケアテクノロジー,強い買い,11.932892093148439,0.005238152374487881,49.5528529849868,0.7131680000000002,0.6871400000000005,0.9046004999999997
UPXI,"Upexi, Inc.",1.03,USD,9.446392519392198,4073848,0.4607265757286947,71424681,USD,,-5.2352,USD,75.23135444068053,0,ヘルスケアテクノロジー,強い買い,30.062997468422825,-0.12243977532448025,49.196946482466515,1.441384000000001,0.7997049999999997,4.651771000000001
PNTG,Pennant Group Inc,34.03,USD,-0.058737151248152784,296484,0.77941128532777,1179585811,USD,40.642541502448346,0.8373,USD,18.429985855728443,0,ヘルスケアサービス,強い買い,27.113770970272938,1.035075338296835,60.610899735997386,30.565599999999996,32.78,27.14295000000001
YALA,Yalla Group Ltd. Sponsored ADR Class A,6.57,USD,0.7668711656441827,308443,1.0685505732612057,1038522713.0000001,USD,7.8560325242137985,0.8363,USD,12.891468682505403,0,テクノロジーサービス,強い買い,16.669599914993416,-0.07856186838085133,35.11862732381634,7.025199999999997,7.060500000000002,7.251499999999998
HRTX,Heron Therapeutics Inc,0.97,USD,-1.8417324428253383,1056913,0.3451119698078904,182881031.00000003,USD,,-0.1205,USD,-34.93840985442328,0,ヘルスケアテクノロジー,強い買い,23.342637396788774,-0.07683206829171141,31.713828371751504,1.2624260000000003,1.1205650000000016,1.4503814999999958
PZG,Paramount Gold Nevada Corp,2.31,USD,-2.1186440677966027,899345,0.688028054043724,193608580,USD,,-0.1915,USD,-51.86360031720858,0,非エネルギー鉱物,強い買い,41.2922157187681,0.1227713719878496,53.24257622741065,1.8886000000000005,2.3675000000000006,1.1692506999999999
KMDA,Kamada Ltd,8.55,USD,-4.5758928571428585,229861,3.657621044993667,493177586.29251707,USD,22.611046000554616,0.378133767,USD,47.78370212483315,0,ヘルスケアテクノロジー,強い買い,19.055736071527534,0.15917087990759704,47.05096156961189,8.3252,8.877000000000004,7.406025000000007
LAES,SEALSQ Corp.,3.98,USD,-0.748129675810469,2768426,0.4668744916585756,735902007,USD,,-0.4809,USD,16.42335766423358,0,電子テクノロジー,強い買い,17.373764584116643,-0.025241911835312436,47.683763337640265,4.157799999999998,3.981499999999999,4.120575000000003
FFA,First Trust Enhanced Equity Income Fund,21.43,USD,0.37470725995315357,23415,1.1435618177822275,428344983,USD,8.846963629608224,2.4223,USD,-31.190523534926008,6.882874475035,その他,強い買い,23.701660086598363,-0.1335066184970195,39.46796882637839,21.915311999999993,21.817700000000023,21.28749749999999
ATOM,Atomera Incorporated,5.1,USD,1.5936254980079698,2974858,1.9720334411849576,197350350.99999997,USD,,-0.6547,USD,3.5219569702328366,0,商業サービス,強い買い,32.485714042702156,0.39981520326940334,56.86598852373197,3.5101999999999998,5.0065,3.8436000000000057
ATLX,Atlas Lithium Corporation,5.37,USD,-0.37105751391464886,247239,0.6179680356965214,145718851,USD,,-1.4442,USD,51.92250074902627,0,非エネルギー鉱物,強い買い,11.25585232610101,0.04984910766582917,54.92287377006007,5.1524,5.038499999999998,4.932750000000007
PPIH,Perma-Pipe International Holdings Inc,29.34,USD,-0.9118541033434636,52797,0.5677994263609409,237479272,USD,17.19207781553967,1.7066,USD,-13.624860815872058,0,生産財製造,強い買い,22.135353098088867,-0.46647594535168935,38.693949269104245,31.323599999999978,31.856000000000012,26.594724999999993
MCB,Metropolitan Bank Holding Corp.,79.16,USD,-0.5777442853554483,125383,0.38605267962735634,800791897,USD,11.904475457170355,6.6496,USD,12.318632501731337,0.631632137443153,金融,強い買い,26.48509731640707,-2.728225378531988,32.78045986187156,86.76019999999995,87.69099999999995,76.50339999999997
BNGO,"Bionano Genomics, Inc.",1.15,USD,1.7699115044247804,84873,0.742480972793286,11702399,USD,,-15.5257,USD,88.80037799274312,0,ヘルスケアテクノロジー,強い買い,30.08891391339819,-0.04915503142967115,42.31104118791825,1.3273999999999984,1.1315000000000355,2.3227249999999735
DSP,"Viant Technology, Inc. Class A",11.09,USD,5.619047619047618,335787,1.8118309913872643,692388703,USD,420.07575757575756,0.0264,USD,42.70270270270271,0,テクノロジーサービス,強い買い,20.855702936806704,-0.0638513928713973,59.12897352637532,10.999199999999988,9.840000000000025,11.100700000000003
FLD,"Fold Holdings, Inc. Class A",1.3,USD,-9.722222222222216,209898,1.7306222466642536,62799929.99999999,USD,,-1.6572,USD,-1906.2953995157382,0,テクノロジーサービス,強い買い,27.134461864238478,-0.14865810255397038,31.26522784699388,1.9014000000000035,1.453499999999997,3.3304499999999986
EDRY,Eurodry Ltd.,21.3,USD,8.56269113149847,30791,0.6594237350569025,60208646,USD,,-1.5818,USD,55.2443199502023,0,交通・輸送,強い買い,40.63807405943159,1.636711970366921,66.21152083062448,15.594493999999997,18.96494000000002,12.197389000000028
MMYT,MakeMyTrip Ltd.,47.39,USD,-2.5498663376516593,1084103,0.7656058407068271,4495756203,USD,96.65510911686722,0.4903,USD,-73.28065395095368,0,テクノロジーサービス,強い買い,40.39660143276475,-3.9080488075211974,29.801347465764337,64.05400000000014,54.521499999999946,84.48617500000005
ATAI,AtaiBeckley Inc.,4.06,USD,-1.932367149758456,4509401,0.6886353101731467,1474651254,USD,,,,,0,ヘルスケアテクノロジー,強い買い,11.58803783370912,0.0016172628220294527,55.070746145503655,3.842899999999999,3.834500000000002,3.9933750000000017
DBD,Diebold Nixdorf Inc,75.2,USD,-0.18582426333952823,208691,0.6852597778506738,2645012387,USD,29.126965682856923,2.5818,USD,,0,電子テクノロジー,強い買い,24.58776574657202,0.9439114832151319,45.79678011099963,73.08780000000003,79.04849999999999,62.5637
ARLP,"Alliance Resource Partners, L.P.",27.5,USD,0.40160642570280913,391652,1.086509156702311,3538116951.0000005,USD,11.462154051350451,2.3992,USD,-13.47374495095211,9.09090909090909,エネルギー鉱物,強い買い,38.48540867900599,0.6353884412078443,68.58660813732902,25.132599999999982,26.500500000000063,24.940174999999968
UTL,Unitil Corporation,52.1,USD,-0.34429992348890537,108002,0.8098900744560152,936966035,USD,17.44692251021365,2.9862,USD,2.2706257063598074,3.50287907869482,公益事業,強い買い,13.382277881799098,0.526396248874704,52.494968196547454,50.77640000000001,52.1715,49.790350000000274
PGC,Peapack-Gladstone Financial Corporation,33.68,USD,-1.5780245470485073,146534,0.9887184054626669,591354106.9999999,USD,15.979503724438963,2.1077,USD,13.524722611224812,0.593824228028504,金融,強い買い,21.289801770843987,0.501697491615424,52.46473043645908,31.788600000000002,33.989499999999964,28.662849999999995
GWH,ESS Tech Inc,1.31,USD,0.7692307692307698,309442,0.2684977101833068,35597620.99999999,USD,,-4.3352,USD,40.76624583265016,0,生産財製造,強い買い,19.66381229570288,-0.09718220299880942,36.14650446409043,1.6456,1.4654999999999991,2.079914999999994
ONIT,Onity Group Inc.,38.9,USD,-0.8664627930683063,67444,1.0428430942028524,331491653.99999994,USD,1.8105318029917992,21.4854,USD,425.21267233792895,0,金融,強い買い,23.737271661432754,-1.488207594817375,34.02701053580029,45.108599999999996,41.894999999999996,41.27449999999999
MATX,"Matson, Inc.",153.94,USD,-1.7989282980352086,241501,0.6443901599495163,4685827467,USD,11.044863930203693,13.9377,USD,-0.7427716849451665,0.922437313238924,交通・輸送,強い買い,36.46233369057129,0.4306070482188602,43.02332982241942,153.141,163.35950000000005,118.97675000000005
MHD,BlackRock MuniHoldings Fund Inc,11.76,USD,-0.42337002540220753,817692,2.338575374105651,2054472000.0000002,USD,,-0.8074,USD,-256.4728682170542,5.77380952380952,その他,強い買い,17.609003052453883,0.0016780598388344004,42.72209516457399,11.834400000000032,11.827000000000044,11.535975000000006
GPCR,"Structure Therapeutics, Inc. Sponsored ADR",58.2,USD,-0.03435245620061151,696253,0.881519704301899,4122752254,USD,,-2.458,USD,-6.053415023514705,0,ヘルスケアテクノロジー,強い買い,40.12014948174139,-4.679990312070565,30.977919390491024,73.57609999999998,65.07925000000003,39.54042500000001
