シンボル,詳細,価格,価格 - 通貨,価格変動 % 1日,出来高 1日,相対ボリューム 1日,時価総額,時価総額 - 通貨,PER (株価収益率),"希薄化EPS, 直近12ヶ月","希薄化EPS, 直近12ヶ月 - 通貨","希薄化EPS成長率 %, 直近12ヶ月前年比","配当利回り %, 直近12ヶ月",セクター,アナリストの評価,ADX (平均方向性指数) (14) 1日,"MACD (移動平均収束拡散) (12,26) 1日, Level",RSI (相対力指数) (14) 1日,SMA (単純移動平均) (50) 1日,SMA (単純移動平均) (20) 1日,SMA (単純移動平均) (200) 1日
RAIL,"FreightCar America, Inc.",8.68,USD,-9.205020920502099,476878,1.6681002473407631,165557768,USD,7.76178127514978,1.1183,USD,,0,生産財製造,強い買い,32.43944372810286,-0.5316560747066177,24.983538989945856,12.173400000000006,12.982499999999998,9.927574999999997
NOTE,"Fiscalnote Holdings, Inc. Class A",0.9869,USD,-3.245098039215688,167015,0.5931935203512811,15504097,USD,,-4.2272,USD,-40.61606014237242,0,テクノロジーサービス,強い買い,18.231115802622483,-0.08438380744630858,41.64592075080646,1.2896820000000002,1.0477049999999963,4.1710924999999985
PYPD,PolyPid Ltd.,4.17,USD,-4.137931034482753,20552,0.425946420947478,79577098,USD,,-2.2636,USD,54.51787257127931,0,ヘルスケアテクノロジー,強い買い,16.247346072932277,-0.05562840284208015,42.653847938719124,4.454799999999999,4.281999999999999,3.7621255000000002
ACTU,"Actuate Therapeutics, Inc.",2.55,USD,1.1904761904761827,139222,1.5476729101101987,59270486,USD,,-1.2096,USD,17.970975179709747,0,ヘルスケアテクノロジー,強い買い,44.20879167789066,-0.5879126367375225,23.532617237911808,4.660999999999997,3.5947500000000145,6.639750000000003
CLNN,Clene Inc,5.92,USD,6.093189964157704,71775,1.2801168558082794,69727578,USD,,-2.5977,USD,42.49822914822029,0,ヘルスケアテクノロジー,強い買い,25.50185172607817,0.2072564671264745,65.09904395532027,5.035599999999994,5.0242499999999986,5.850849999999999
BCDA,"BioCardia, Inc.",1.27,USD,-1.5503875968992262,17892,0.21301597619821488,13478173.000000002,USD,,-1.7252,USD,58.50390859891762,0,ヘルスケアテクノロジー,強い買い,14.021940087977644,0.006886124206997302,53.09659314341786,1.258502000000001,1.2145049999999997,1.622033000000004
BRNS,Barinthus Biotherapeutics plc Sponsored ADR,0.6,USD,1.4370245139475828,12428,0.66641642983538,24496359,USD,,-1.8861,USD,-26.312617197964105,0,ヘルスケアテクノロジー,強い買い,24.479629742887326,-0.027195889824124797,45.22687075230763,0.6751040000000006,0.6007550000000008,0.9948584999999998
AUGO,Aura Minerals Inc,80.11,USD,-3.2487922705313985,769333,0.9786792429548083,6691949467.000001,USD,,-1.0622,USD,-153.68999283496535,1.82249407065285,非エネルギー鉱物,強い買い,24.939410259133034,4.136742025715904,53.82912084632498,69.04719999999999,79.5435,41.38839499999999
RLGT,"Radiant Logistics, Inc.",6.8,USD,-2.4390243902439015,108227,0.844515297363772,318420494.00000006,USD,23.570190641247834,0.2885,USD,1.263601263601261,0,交通・輸送,強い買い,15.80778994166147,-0.022407974183039414,40.87249638674774,7.011400000000008,7.331000000000008,6.364350000000002
NCA,Nuveen California Municipal Value Fund,9.3,USD,-1.1689691817215666,56726,0.8224914272457716,307906260,USD,,-0.2148,USD,-156.6605117383276,3.74193548387097,その他,強い買い,23.82328969761576,-0.02536943878230069,45.936671208808924,9.390973200000026,9.380599999999994,8.889022800000047
SEV,Aptera Motors Corp. Class B,2.75,USD,-19.825072886297377,1819400,1.8822457382817683,89329811,USD,,,,,0,耐久消費財,強い買い,31.743842058181578,0.2022707973361486,52.85573913266803,2.715700000000001,2.3052499999999974,
LGVN,Longeveron Inc. Class A,0.809,USD,-0.43076923076922435,7156675,0.2746576380217978,17258302,USD,,-1.3371,USD,78.88178156834874,0,ヘルスケアテクノロジー,強い買い,33.726476401136544,0.04661965237578081,67.80711322026337,0.572568,0.5892250000000001,0.8660140000000002
