シンボル,詳細,テクニカルの評価 1日,移動平均線の評価 1日,オシレーターの評価 1日,RSI (相対力指数) (14) 1日,MOM (モメンタム) (10) 1日,AO (オーサム・オシレーター) 1日,CCI (商品チャネル指数) (20) 1日,"STOCH (ストキャスティクス) (14,3,3) 1日, %K","STOCH (ストキャスティクス) (14,3,3) 1日, %D",ローソク足パターン 1日
SGA,"Saga Communications, Inc. Class A",売り,売り,中立,49.25966220871806,0.20999999999999908,0.03328323529402688,-6.888331671347994,61.160612291523854,62.78539057130234,陽のコマ
LVO,"LiveOne, Inc.",買い,買い,中立,52.69384021065115,0.22000000000000064,0.2569382352941192,151.73664741898992,76.46280991735539,66.56870254652956,包み線 (弱気)
CASI,"CASI Pharmaceuticals, Inc.",強い売り,強い売り,売り,33.783968761498585,-0.2247999999999999,-0.009113249999998851,-270.2310748209545,17.08573490829613,26.997579640394317,陰の丸坊主
MTVA,MetaVia Inc.,売り,強い売り,中立,22.532355705022454,-0.9000000000000001,-3.571414705882351,-90.57063050191452,8.044262336183154,7.281791870621504,
CAPR,"Capricor Therapeutics, Inc.",買い,強い買い,中立,52.93426433413287,1.1099999999999994,-0.9677067647058877,89.862014162975,85.64028295069635,74.49427558122333,
ICCM,IceCure Medical Ltd.,売り,強い売り,中立,43.13119246601134,-0.028000000000000025,-0.05396722058823533,-66.19896281076203,37.75743397465922,26.16228258055212,
FTHM,"Fathom Holdings, Inc.",売り,強い売り,中立,44.24974385682272,-0.18999999999999995,-0.1123132352941183,-59.44165362025176,27.243589743589748,19.582243153671737,
BLIN,"Bridgeline Digital, Inc.",売り,強い売り,中立,34.67177919950987,-0.07494999999999996,-0.07910126176470667,-111.1064770390821,16.396277269645918,14.210033581880884,
MDWD,MediWound Ltd.,売り,強い売り,中立,47.211537450030455,-0.4400000000000013,-0.32466029411762065,35.105524761238925,53.078568090988675,52.965820852760494,
WULF,TeraWulf Inc.,買い,強い買い,売り,61.280326493473716,1.3199999999999985,1.1063970588235428,243.52952703880987,81.56802577406647,59.0424712582828,
ALGS,"Aligos Therapeutics, Inc.",売り,強い売り,売り,39.71960298868921,-1.4100000000000001,-1.5123705882353065,-91.65985923490376,30.13333333333333,21.83083548664945,上影線
CARL,"Carlsmed, Inc.",売り,強い売り,売り,44.51240536473965,-1.4200000000000017,-1.0789273529411822,-53.90894003755187,30.943396226415103,22.06540054462847,上影線
ANIX,"Anixa Biosciences, Inc.",売り,強い売り,中立,42.73123651702716,-0.10999999999999988,-0.2580647058823451,-82.42646589915701,40.45454545454546,28.20239431350542,
VRAR,"Glimpse Group, Inc.",強い売り,強い売り,売り,36.677034750620436,-0.26960000000000006,-0.13761707058823447,-80.74485467893108,16.26577579806976,13.952628415880058,"トンカチ, 上影線"
MPTI,M-tron Industries Inc,中立,買い,売り,52.14036749009781,0.240000000000002,3.975412058823551,-33.56348264682989,47.365137832699645,44.26258185466838,
