Ticker,Name,Sector,Industry,Close,Change %,Volume,Relative Volume,Market Cap,SMA20,SMA50,SMA200,RSI,MACD.macd,MACD.signal,ADX,ATR,P/E,EPS (TTM)
AAPL,Apple Inc,Technology,Consumer Electronics,248.50,1.20,58000000,1.15,3800000000000,245.00,240.00,220.00,62.3,2.10,1.80,28.5,4.20,32.1,7.74
MSFT,Microsoft Corp,Technology,Software - Infrastructure,430.20,0.85,22000000,0.95,3200000000000,425.00,418.00,395.00,58.7,3.50,2.90,24.1,5.80,35.4,12.15
NVDA,NVIDIA Corp,Technology,Semiconductors,142.80,2.50,320000000,1.45,3500000000000,138.00,130.00,105.00,71.2,5.20,3.80,35.2,3.90,55.0,2.60
GOOGL,Alphabet Inc,Technology,Internet Content,193.40,0.65,25000000,0.88,2400000000000,191.00,188.00,172.00,55.1,1.20,1.10,19.8,3.10,23.5,8.23
META,Meta Platforms,Technology,Internet Content,612.30,1.80,15000000,1.10,1550000000000,600.00,580.00,510.00,65.8,8.50,6.20,30.1,10.20,26.8,22.85
AVGO,Broadcom Inc,Technology,Semiconductors,238.50,1.95,35000000,1.30,1100000000000,232.00,225.00,185.00,68.4,4.80,3.60,32.0,5.50,175.0,1.36
JPM,JPMorgan Chase,Financial,Banks - Diversified,265.80,0.45,8500000,0.80,770000000000,262.00,255.00,220.00,54.2,1.80,1.50,22.3,4.30,13.2,20.14
GS,Goldman Sachs,Financial,Capital Markets,612.40,0.92,2200000,0.90,195000000000,605.00,590.00,510.00,57.8,5.20,4.10,25.1,10.50,17.5,35.00
BRK-B,Berkshire Hathaway,Financial,Insurance - Diversified,478.60,0.30,3200000,0.75,1050000000000,475.00,468.00,430.00,52.1,1.50,1.20,18.5,6.20,10.8,44.31
V,Visa Inc,Financial,Credit Services,326.50,0.55,5800000,0.85,640000000000,322.00,315.00,290.00,56.3,2.10,1.70,21.2,4.80,31.5,10.36
MA,Mastercard Inc,Financial,Credit Services,538.20,0.72,2800000,0.92,530000000000,532.00,520.00,475.00,58.9,3.20,2.50,23.8,7.50,38.2,14.09
BAC,Bank of America,Financial,Banks - Diversified,47.20,0.65,32000000,0.95,370000000000,46.50,44.80,38.50,55.8,0.45,0.35,20.1,0.85,15.8,2.99
