ticker,name,sector,industry,signal,strength,close,change_pct,rsi,volume_ratio,reasons
AAPL,Apple Inc,Technology,Consumer Electronics,LONG,80.0,250.1,0.64,60.5,1.05,強セクター (SCS=67.7) | Close > SMA50 (中期上昇) | Close > SMA200 (長期上昇) | RSI=60.5 (適正レンジ) | RVOL=1.05 (出来高増加) | MACD > Signal (上昇モメンタム) | ADX=27.8 (トレンド明確)
NVDA,NVIDIA Corp,Technology,Semiconductors,LONG,80.0,145.2,1.68,69.8,1.3,強セクター (SCS=67.7) | Close > SMA50 (中期上昇) | Close > SMA200 (長期上昇) | RSI=69.8 (適正レンジ) | RVOL=1.30 (出来高増加) | MACD > Signal (上昇モメンタム) | ADX=34.5 (トレンド明確)
META,Meta Platforms,Technology,Internet Content,LONG,80.0,618.5,1.01,64.2,1.02,強セクター (SCS=67.7) | Close > SMA50 (中期上昇) | Close > SMA200 (長期上昇) | RSI=64.2 (適正レンジ) | RVOL=1.02 (出来高増加) | MACD > Signal (上昇モメンタム) | ADX=29.5 (トレンド明確)
AVGO,Broadcom Inc,Technology,Semiconductors,LONG,80.0,241.2,1.13,67.1,1.18,強セクター (SCS=67.7) | Close > SMA50 (中期上昇) | Close > SMA200 (長期上昇) | RSI=67.1 (適正レンジ) | RVOL=1.18 (出来高増加) | MACD > Signal (上昇モメンタム) | ADX=31.2 (トレンド明確)
GS,Goldman Sachs,Financial,Capital Markets,LONG,80.0,618.8,1.05,59.5,1.02,強セクター (SCS=65.8) | Close > SMA50 (中期上昇) | Close > SMA200 (長期上昇) | RSI=59.5 (適正レンジ) | RVOL=1.02 (出来高増加) | MACD > Signal (上昇モメンタム) | ADX=26.2 (トレンド明確)
BAC,Bank of America,Financial,Banks - Diversified,LONG,80.0,47.85,1.38,58.2,1.05,強セクター (SCS=65.8) | Close > SMA50 (中期上昇) | Close > SMA200 (長期上昇) | RSI=58.2 (適正レンジ) | RVOL=1.05 (出来高増加) | MACD > Signal (上昇モメンタム) | ADX=21.5 (トレンド明確)
XOM,Exxon Mobil,Energy,Oil & Gas Integrated,SHORT,80.0,106.8,-1.66,33.1,1.3,弱セクター (SCS=31.4) | Close < SMA50 (中期下降) | Close < SMA200 (長期下降) | RSI=33.1 (まだ売り余地) | RVOL=1.30 (売り圧力) | MACD < Signal (下降モメンタム) | ADX=24.2 (トレンド明確)
CVX,Chevron Corp,Energy,Oil & Gas Integrated,SHORT,80.0,146.5,-1.21,35.8,1.2,弱セクター (SCS=31.4) | Close < SMA50 (中期下降) | Close < SMA200 (長期下降) | RSI=35.8 (まだ売り余地) | RVOL=1.20 (売り圧力) | MACD < Signal (下降モメンタム) | ADX=21.8 (トレンド明確)
COP,ConocoPhillips,Energy,Oil & Gas E&P,SHORT,80.0,103.5,-1.62,31.2,1.35,弱セクター (SCS=31.4) | Close < SMA50 (中期下降) | Close < SMA200 (長期下降) | RSI=31.2 (まだ売り余地) | RVOL=1.35 (売り圧力) | MACD < Signal (下降モメンタム) | ADX=26.5 (トレンド明確)
EOG,EOG Resources,Energy,Oil & Gas E&P,SHORT,80.0,124.2,-1.27,33.2,1.18,弱セクター (SCS=31.4) | Close < SMA50 (中期下降) | Close < SMA200 (長期下降) | RSI=33.2 (まだ売り余地) | RVOL=1.18 (売り圧力) | MACD < Signal (下降モメンタム) | ADX=24.0 (トレンド明確)
FCX,Freeport-McMoRan,Basic Materials,Copper,LONG,80.0,47.2,3.06,69.5,1.55,強セクター (SCS=69.8) | Close > SMA50 (中期上昇) | Close > SMA200 (長期上昇) | RSI=69.5 (適正レンジ) | RVOL=1.55 (出来高増加) | MACD > Signal (上昇モメンタム) | ADX=32.8 (トレンド明確)
NEM,Newmont Corp,Basic Materials,Gold,LONG,80.0,49.5,2.7,66.8,1.42,強セクター (SCS=69.8) | Close > SMA50 (中期上昇) | Close > SMA200 (長期上昇) | RSI=66.8 (適正レンジ) | RVOL=1.42 (出来高増加) | MACD > Signal (上昇モメンタム) | ADX=28.5 (トレンド明確)
PLD,Prologis Inc,Real Estate,REIT - Industrial,SHORT,75.0,117.0,-1.02,41.2,1.0,弱セクター (SCS=45.4) | Close < SMA50 (中期下降) | Close < SMA200 (長期下降) | RSI=41.2 (まだ売り余地) | MACD < Signal (下降モメンタム) | ローテーション流出中
MSFT,Microsoft Corp,Technology,Software - Infrastructure,LONG,70.0,432.8,0.6,57.2,0.88,強セクター (SCS=67.7) | Close > SMA50 (中期上昇) | Close > SMA200 (長期上昇) | RSI=57.2 (適正レンジ) | MACD > Signal (上昇モメンタム) | ADX=23.5 (トレンド明確)
GOOGL,Alphabet Inc,Technology,Internet Content,LONG,70.0,194.8,0.72,56.2,0.82,強セクター (SCS=67.7) | Close > SMA50 (中期上昇) | Close > SMA200 (長期上昇) | RSI=56.2 (適正レンジ) | MACD > Signal (上昇モメンタム) | ADX=20.1 (トレンド明確)
