entry_date,direction,entry_price,sl,tp,qty,exit_date,exit_price,pnl,exit_reason
2020-10-20,LONG,1610.3982119156292,1573.9603820713523,1683.273871604183,54,2020-11-02,1638.3909768729147,27.992764957285544,TSL
2020-11-04,LONG,1687.904290450779,1645.2643457854654,1773.184179781406,47,2020-11-09,1645.2643457854654,-42.63994466531358,SL
2021-03-15,LONG,1720.0584738825974,1682.8228102772202,1794.5298010933516,53,2021-04-12,1776.3327410923428,56.2742672097454,TSL
2021-06-14,LONG,1895.525910869182,1853.712406981816,1979.1529186439143,49,2021-06-16,1853.712406981816,-41.813503887366096,SL
2021-08-17,LONG,1977.1311605087324,1925.5799143549116,2080.233652816374,38,2021-08-19,1977.1311605087324,0.0,TSL
2021-08-23,LONG,2019.876934982775,1972.3628063937156,2114.905192160894,42,2021-08-25,1972.3628063937156,-47.51412858905951,SL
2022-01-06,SHORT,1727.4449965660965,1772.5450326415241,1637.244924415241,43,2022-01-31,1695.504133163262,31.940863402834566,TSL
2022-05-20,LONG,1826.236120656536,1781.2143893990537,1916.2795831715007,44,2022-06-08,1829.16108650195,2.924965845413908,TSL
2023-03-02,LONG,1967.8334415722975,1916.1079705433501,2071.284383630192,38,2023-03-08,1916.1079705433501,-51.72547102894737,SL
2023-05-17,LONG,2088.2110989790317,2033.0771124754483,2198.4790719861985,35,2023-07-17,2445.7643517912597,357.55325281222804,TSL
2023-07-27,LONG,2519.9277293684495,2465.8923177684915,2627.9985525683655,40,2023-07-31,2465.8923177684915,-54.035411599958024,SL
2023-09-13,LONG,2590.4882812644387,2536.04336913608,2699.378105521156,39,2023-09-15,2590.4882812644387,0.0,TSL
2023-09-15,LONG,2619.5904781055688,2562.907412413644,2732.956609489418,38,2023-09-21,2562.907412413644,-56.68306569192464,SL
2023-11-17,LONG,2657.16751835687,2599.9911221899465,2771.5203106907175,37,2023-11-24,2657.16751835687,0.0,TSL
2023-12-04,LONG,2723.2011145266993,2663.7732846373765,2842.056774305345,35,2023-12-14,2740.0987424494983,16.897627922799074,TSL
2024-01-03,LONG,2836.5750950096276,2772.5354033552157,2964.6544783184513,33,2024-01-25,2877.232915907026,40.657820897398324,TSL
2024-04-18,LONG,3193.8030712410928,3112.740855800071,3355.9275021231356,26,2024-04-24,3193.8030712410928,0.0,TSL
2024-05-03,LONG,3269.2326191489738,3189.7889240041673,3428.1200094385867,27,2024-05-24,3304.326537553251,35.09391840427725,TSL
2024-09-26,LONG,3537.177634922245,3449.1432009423474,3713.24650288204,24,2024-10-07,3537.177634922245,0.0,TSL
2025-04-07,SHORT,3271.360138291021,3342.2866741816865,3129.5070665096896,30,2025-04-11,3342.2866741816865,-70.92653589066549,SL
2025-04-24,LONG,3505.4139287642133,3418.1274577702943,3679.9868707520513,24,2025-04-29,3505.4139287642133,0.0,TSL
2025-05-02,LONG,3599.7015205517578,3509.202603635485,3780.699354384303,23,2025-05-09,3509.202603635485,-90.49891691627272,SL
2025-05-20,LONG,3631.0480304965126,3555.535360235779,3782.0733710179793,27,2025-05-22,3555.535360235779,-75.51267026073356,SL
2025-06-02,LONG,3753.651459554734,3663.00550138489,3934.9433758944224,22,2025-06-18,3820.2608659895195,66.60940643478534,TSL
2025-07-10,LONG,4019.505277716115,3929.1355284054334,4200.2447763374785,23,2025-07-30,4158.689375160124,139.18409744400878,TSL
2025-09-05,LONG,4342.073284997141,4251.592427093569,4523.035000804284,23,2025-09-12,4251.592427093569,-90.48085790357163,SL
2025-09-26,LONG,4603.754360423806,4471.002277382528,4869.2585265063635,15,2025-10-20,4629.60638713427,25.852026710464088,TSL
2025-11-06,LONG,4896.4447310332425,4788.4593278552,5112.415537389326,19,2025-11-11,4896.4447310332425,0.0,TSL
